Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,27,10,17,37.0%,27-35,43.5%,268-308,46.5%,3-3,50.0%,24,65.1%,28.4%,2.9%,4.7%,62.2%,61.5%,50.5%,57.3%,39.7%,48.4%,0.93,R16 (2x)
2014,46,28,18,60.9%,60-49,55.0%,512-489,51.1%,4-5,44.4%,41,-,-,2.3%,4.1%,59.3%,62.2%,48.6%,56.6%,43.8%,50.2%,1.01,SF (Birmingham)
2013,9,1,8,11.1%,3-16,15.8%,67-108,38.3%,0-2,0.0%,9,-,-,1.4%,4.7%,61.6%,56.9%,45.9%,52.7%,35.2%,44.3%,0.74,R32 (4x)
2012,24,10,14,41.7%,22-30,42.3%,222-249,47.1%,0-2,0.0%,22,-,-,1.5%,5.4%,62.3%,59.8%,39.8%,52.3%,44.4%,48.5%,0.93,SF (Dallas)
2011,8,3,5,37.5%,8-11,42.1%,88-93,48.6%,1-0,100.0%,6,-,-,2.6%,5.9%,62.4%,61.4%,43.6%,54.7%,43.9%,49.5%,0.97,R16 (2x)
2010,8,2,6,25.0%,5-13,27.8%,68-99,40.7%,2-2,50.0%,7,-,-,1.4%,4.8%,54.5%,58.5%,42.7%,51.3%,43.5%,47.3%,0.89,
2009,4,1,3,25.0%,2-6,25.0%,27-39,40.9%,0-1,0.0%,3,-,-,1.6%,8.7%,54.3%,51.0%,36.9%,44.6%,39.0%,41.8%,0.70,
2008,38,20,18,52.6%,42-45,48.3%,413-419,49.6%,2-7,22.2%,31,-,-,4.0%,5.8%,58.3%,63.3%,44.3%,55.3%,44.5%,49.9%,1.00,QF (Hobart)
2007,19,7,12,36.8%,21-25,45.7%,207-209,49.8%,0-0,-,17,-,-,2.5%,5.1%,60.9%,59.3%,44.4%,53.5%,44.8%,49.2%,0.96,R16 (4x)
2006,8,3,5,37.5%,6-12,33.3%,68-91,42.8%,1-1,50.0%,1,-,-,1.8%,12.3%,47.4%,55.6%,40.0%,47.4%,26.5%,37.7%,0.50,R16 (3x)
2005,3,1,2,33.3%,3-4,42.9%,29-37,43.9%,0-1,0.0%,1,-,-,1.4%,10.0%,54.3%,63.2%,50.0%,57.1%,36.8%,46.6%,0.86,R16 (Hobart)
2004,2,0,2,0.0%,0-4,0.0%,14-24,36.8%,0-0,-,1,-,-,2.7%,8.2%,53.4%,56.4%,41.2%,49.3%,43.8%,46.6%,0.86,R32 (Gold Coast)
2003,1,0,1,0.0%,1-2,33.3%,11-18,37.9%,1-0,100.0%,0,,,,,,,,,,,,R128 (Australian Open)
2002,11,8,3,72.7%,16-9,64.0%,145-108,57.3%,0-4,0.0%,0,,,,,,,,,,,,SF (2x)
Career,208,94,114,45.2%,216-261,45.3%,2139-2291,48.3%,14-28,33.3%,163,65.1%,28.4%,2.6%,5.1%,59.9%,61.0%,45.5%,54.8%,42.9%,48.9%,0.95,
