Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,4,0,4,0.0%,2-8,20.0%,46-56,45.1%,0-2,0.0%,4,72.0%,20.0%,5.4%,3.8%,59.0%,65.8%,46.9%,58.0%,38.4%,47.8%,0.91
Clay,1,0,1,0.0%,1-2,33.3%,14-16,46.7%,0-1,0.0%,1,50.0%,46.7%,2.3%,2.3%,62.1%,57.4%,39.4%,50.6%,46.3%,48.2%,0.94
Grass,6,3,3,50.0%,6-9,40.0%,63-80,44.1%,2-0,100.0%,6,62.3%,25.0%,4.0%,4.7%,61.5%,64.4%,44.2%,56.6%,38.7%,47.8%,0.89
Grand Slams,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,33.3%,33.3%,1.4%,5.6%,56.9%,53.7%,35.5%,45.8%,41.7%,44.2%,0.77
Premiers,1,0,1,0.0%,1-2,33.3%,15-14,51.7%,0-0,-,1,66.7%,35.7%,3.4%,4.6%,55.2%,64.6%,48.7%,57.5%,45.5%,51.4%,1.07
Internationals,7,3,4,42.9%,7-11,38.9%,79-96,45.1%,2-1,66.7%,7,65.5%,25.0%,3.7%,3.9%,62.1%,65.4%,45.1%,57.7%,39.3%,48.1%,0.93
Quarter-finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,0.0%,12.7%,54.5%,63.3%,40.0%,52.7%,28.6%,41.3%,0.60
vs Righties,14,4,10,28.6%,12-23,34.3%,158-193,45.0%,4-3,57.1%,13,63.9%,25.0%,4.1%,3.7%,60.4%,64.3%,44.1%,56.3%,39.1%,47.6%,0.89
vs Top 10,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,44.4%,30.0%,1.8%,3.6%,53.6%,53.3%,42.3%,48.2%,36.5%,42.6%,0.71
