Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Buenos Aires Tigre CH R32,W vs Prado Angelo,47% (8/17),75% (6/8),2/4,47% (8/17),50% (4/8),5/5,2/2,1/1,1/1,1/1
2024 Asuncion CH R32,W vs Prado Angelo,50% (6/12),100% (6/6),0/4,45% (5/11),20% (1/5),4/5,1/1,0/0,0/0,0/0
2023 Astana R32,L vs Thiem,27% (3/11),33% (1/3),0/2,30% (3/10),33% (1/3),0/1,0/0,1/1,0/0,0/0
2023 US Open R64,L vs Fritz,8% (1/12),0% (0/1),0/6,55% (6/11),0% (0/6),0/0,0/0,1/1,0/0,0/0
2023 US Open R128,W vs Kecmanovic,45% (9/20),67% (6/9),1/5,33% (7/21),14% (1/7),6/6,3/5,1/2,1/1,0/0
2023 Wimbledon R128,L vs Musetti,14% (2/14),50% (1/2),0/4,50% (7/14),14% (1/7),1/1,0/0,2/4,0/0,1/2
2023 Roland Garros R16,L vs Djokovic,23% (3/13),33% (1/3),1/6,58% (7/12),14% (1/7),1/1,0/0,3/3,0/0,1/1
2023 Roland Garros R32,W vs Hurkacz,25% (6/24),67% (4/6),0/3,17% (4/24),25% (1/4),3/3,1/1,4/4,0/0,0/0
2023 Buenos Aires R16,W vs Thiem,40% (4/10),75% (3/4),0/1,20% (2/10),50% (1/2),3/3,2/3,0/0,1/1,0/0
2023 Australian Open R128,L vs Zverev,19% (5/26),80% (4/5),0/4,36% (9/25),44% (4/9),2/3,1/1,1/2,0/0,0/1
2022 Gstaad QF,L vs Thiem,33% (3/9),67% (2/3),1/4,60% (6/10),17% (1/6),1/2,0/0,2/3,0/0,1/2
2021 Buenos Aires CH QF,L vs Baez,20% (2/10),50% (1/2),1/4,40% (4/10),0% (0/4),1/1,0/0,0/0,0/0,0/0
2019 Santo Domingo CH F,W vs Coria,42% (5/12),60% (3/5),0/1,31% (4/13),50% (2/4),3/3,2/2,0/1,1/1,0/0
2019 Campinas CH F,W vs Ficovich,29% (4/14),50% (2/4),0/2,21% (3/14),33% (1/3),2/2,1/1,1/1,1/1,0/0
2019 M25 Arlon F,L vs Vanneste,15% (2/13),50% (1/2),1/1,29% (4/14),25% (1/4),1/1,0/0,2/4,0/0,2/2
2019 M25 Arlon SF,W vs Ehrat,17% (2/12),50% (1/2),0/0,8% (1/12),100% (1/1),1/1,1/1,3/3,0/0,0/0
2019 M25 Arlon QF,W vs Netuschil,50% (8/16),38% (3/8),0/2,31% (5/16),60% (3/5),2/2,1/1,1/1,1/1,0/0
2019 M25 Arlon R32,W vs Dhoe,55% (6/11),83% (5/6),1/1,27% (3/11),67% (2/3),4/4,1/1,0/0,0/0,0/0
2019 M25 Huelva QF,W vs Vanneste,45% (5/11),100% (5/5),3/3,25% (3/12),0% (0/3),2/3,1/1,0/0,1/1,0/0
2019 M25 Huelva R16,W vs Sinclair,75% (6/8),100% (6/6),2/2,25% (2/8),0% (0/2),4/6,2/2,0/0,1/1,0/0
2025 (1 matches),,47.1%,75.0%,50.0%,47.1%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2024 (1 matches),,50.0%,100.0%,0.0%,45.5%,20.0%,80.0%,100.0%,-,-,-
2023 (8 matches),,25.4%,60.6%,6.5%,35.4%,22.2%,88.9%,70.0%,76.5%,100.0%,50.0%
2022 (1 matches),,33.3%,66.7%,25.0%,60.0%,16.7%,50.0%,-,66.7%,-,50.0%
2021 (1 matches),,20.0%,50.0%,25.0%,40.0%,0.0%,100.0%,-,-,-,-
Career (60 matches),,33.7%,66.4%,19.2%,31.5%,24.2%,86.2%,84.5%,71.8%,92.0%,68.4%
