Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,10,4,6,40.0%,7,3,4,42.9%,2020,2025,R128,10,0.91,5.5%,2.4%,57.8%,70.2%,51.8%,62.4%,34.1%,64.1%,41.7%
Roland Garros,5,Clay,12,7,5,58.3%,4,2,2,50.0%,2020,2024,R16,12,1.03,4.9%,1.7%,61.7%,67.4%,54.4%,62.4%,38.6%,55.9%,43.9%
Wimbledon,3,Grass,3,0,3,0.0%,0,0,0,-,2021,2023,R128,3,0.66,4.2%,4.6%,60.2%,63.8%,40.7%,54.6%,30.1%,50.0%,33.3%
US Open,4,Hard,5,1,4,20.0%,1,0,1,0.0%,2021,2024,R64,5,0.81,6.6%,2.3%,54.5%,63.8%,47.2%,56.3%,35.5%,48.9%,23.7%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Davis Cup,11,,23,11,12,47.8%,14,8,6,57.1%,2015,2026,,11,0.99,7.5%,3.5%,59.0%,74.1%,51.5%,64.8%,34.8%,60.3%,29.0%
Santiago,6,Clay,15,8,7,53.3%,5,2,3,40.0%,2020,2025,QF,15,1.05,5.3%,1.7%,55.6%,71.4%,55.1%,64.1%,37.8%,63.6%,47.6%
Gstaad,3,Clay,12,9,3,75.0%,7,6,1,85.7%,2022,2024,QF,12,1.17,4.9%,2.4%,57.8%,71.6%,56.7%,65.3%,40.7%,64.1%,46.9%
Rome Masters,2,Clay,2,0,2,0.0%,0,0,0,-,2023,2024,R128,2,0.79,1.4%,2.1%,60.7%,60.0%,47.3%,55.0%,35.5%,66.7%,40.0%
Houston,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2022,2024,R32,2,0.69,2.4%,2.4%,57.6%,55.1%,44.4%,50.6%,34.1%,58.3%,25.0%
Rio De Janeiro,2,Clay,3,1,2,33.3%,1,0,1,0.0%,2023,2024,R16,3,1.00,5.2%,1.7%,57.9%,63.0%,51.0%,57.9%,41.9%,53.6%,50.0%
Buenos Aires,3,Clay,9,6,3,66.7%,3,1,2,33.3%,2021,2024,SF,9,1.18,5.6%,1.5%,59.4%,76.8%,49.8%,65.8%,40.2%,61.9%,39.7%
