Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Buenos Aires CH R32,W vs Prado Angelo,4.8,4.9,4.6,51.7%,54.9%,46.3%,42.9%,60.5%,4.7%,20.5,6.4,-9.5,-4.8
2024 Asuncion CH R32,W vs Prado Angelo,4.5,4.6,4.4,51.6%,55.3%,50.0%,42.9%,52.8%,3.3%,12.0,9.2,-4.0,-3.5
2023 Astana R32,L vs Thiem,4.9,5.8,3.9,44.3%,36.7%,72.0%,47.6%,57.1%,18.2%,1.5,0.8,-5.0,-4.5
2023 Roland Garros R16,L vs Djokovic,5.1,6.0,4.3,41.7%,25.0%,60.0%,30.4%,51.5%,5.4%,-1.5,-1.0,-11.0,-7.8
2023 Roland Garros R32,W vs Hurkacz,5.0,5.0,5.1,53.0%,50.7%,51.2%,58.3%,54.9%,8.1%,30.5,9.7,7.5,2.9
2023 Buenos Aires R16,W vs Thiem,5.3,5.5,5.2,54.7%,61.8%,53.8%,52.6%,56.4%,7.5%,19.5,12.7,-2.0,-1.8
2023 Australian Open R128,L vs Zverev,4.1,4.5,3.7,50.3%,40.3%,46.7%,38.7%,57.4%,9.7%,6.0,2.1,-10.5,-5.3
2022 Gstaad QF,L vs Thiem,4.5,5.1,3.7,50.0%,42.9%,52.9%,41.2%,54.3%,6.0%,-5.0,-3.8,-5.0,-4.6
2021 Buenos Aires CH QF,L vs Baez,5.4,5.4,5.5,42.9%,56.5%,41.7%,26.7%,63.3%,2.1%,0.0,0.0,5.5,5.9
2019 Santo Domingo CH F,W vs Coria,4.8,4.6,5.0,56.3%,48.7%,51.9%,50.0%,59.4%,6.4%,7.5,3.8,4.0,3.1
2019 Campinas CH F,W vs Ficovich,4.4,4.4,4.5,52.5%,48.6%,47.8%,43.5%,54.7%,7.1%,13.0,6.8,-1.5,-1.0
Career (11 matches),,4.7,5.0,4.5,50.4%,47.8%,51.5%,44.1%,56.7%,7.4%,9.5,4.7,-2.9,-1.9
