Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Buenos Aires CH R32,W vs Prado Angelo,0.0%,-,5.8%,66.7%,11.4%,8.0%,15.4%,3.2%,5.3%,0.0%,-,-43,-35
2024 Asuncion CH R32,W vs Prado Angelo,0.0%,-,4.5%,83.3%,9.7%,11.1%,16.7%,7.0%,21.4%,0.8%,0.0%,-94,-75
2023 Astana R32,L vs Thiem,0.0%,-,9.7%,86.7%,9.3%,15.6%,17.6%,5.7%,14.3%,0.9%,0.0%,-45,-41
2023 Roland Garros R16,L vs Djokovic,0.0%,-,2.8%,75.0%,8.5%,11.1%,0.0%,7.0%,21.7%,0.0%,-,-85,-91
2023 Roland Garros R32,W vs Hurkacz,0.0%,-,11.9%,71.4%,12.7%,16.2%,13.6%,8.4%,18.0%,1.3%,50.0%,-45,-54
2023 Buenos Aires R16,W vs Thiem,0.0%,-,13.4%,75.0%,15.8%,25.6%,0.0%,7.5%,0.0%,0.4%,100.0%,-21,-30
2023 Australian Open R128,L vs Zverev,0.0%,-,6.8%,77.3%,11.6%,14.1%,15.0%,4.7%,11.1%,2.1%,54.5%,-26,-22
2022 Gstaad QF,L vs Thiem,2.7%,50.0%,9.2%,58.3%,7.6%,5.4%,12.5%,2.5%,33.3%,1.2%,0.0%,-14,-17
2021 Buenos Aires CH QF,L vs Baez,0.0%,-,2.7%,66.7%,10.2%,0.0%,0.0%,8.7%,0.0%,0.4%,0.0%,-92,-69
2019 Santo Domingo CH F,W vs Coria,0.0%,-,9.8%,75.0%,12.9%,15.6%,0.0%,10.1%,11.1%,1.4%,0.0%,11,2
2019 Campinas CH F,W vs Ficovich,0.0%,-,11.1%,77.3%,17.5%,9.8%,23.5%,4.3%,28.6%,0.5%,0.0%,8,3
Career (11 matches),,0.2%,50.0%,8.2%,74.1%,11.8%,13.0%,12.9%,6.2%,15.6%,0.9%,30.6%,-38,-37
