Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2017 Moscow R32,L vs Bublik,18,16,1.1,15.3%,13.6%,15,15,1.0,15.0%,15.0%,10.0%,4.0%,1.5,32.2%,21.2%
2017 Roland Garros R128,L vs Estrella,67,76,0.9,18.6%,21.1%,54,71,0.8,16.6%,21.8%,13.8%,2.1%,0.7,12.2%,16.4%
2016 Wimbledon R128,L vs Roger Vasselin,49,31,1.6,19.9%,12.6%,39,25,1.6,17.7%,11.4%,13.2%,4.5%,1.8,18.3%,10.2%
2016 Roland Garros R32,L vs Isner,44,25,1.8,15.3%,8.7%,40,21,1.9,16.5%,8.7%,12.8%,3.7%,1.0,24.0%,22.9%
2016 Roland Garros R64,W vs Paire,40,20,2.0,16.8%,8.4%,34,17,2.0,15.7%,7.9%,11.6%,4.2%,1.1,19.3%,18.1%
2016 Roland Garros R128,W vs Young,46,29,1.6,24.3%,15.3%,38,23,1.7,22.8%,13.8%,16.8%,4.8%,0.9,15.9%,18.5%
2016 Istanbul R32,L vs Dzumhur,19,30,0.6,16.0%,25.2%,18,27,0.7,15.7%,23.5%,9.6%,4.3%,1.3,16.8%,12.6%
2016 Rotterdam R32,L vs Mahut,29,31,0.9,18.5%,19.7%,26,28,0.9,18.1%,19.4%,11.1%,6.9%,1.1,13.4%,12.7%
2016 Australian Open R128,L vs Seppi,61,73,0.8,20.3%,24.3%,44,65,0.7,17.1%,25.2%,8.1%,7.8%,0.7,10.7%,15.3%
2016 Sydney SF,L vs Troicki,29,46,0.6,16.6%,26.3%,23,41,0.6,15.1%,27.0%,10.5%,3.3%,0.7,15.4%,21.1%
2015 Paris Masters R64,L vs Bellucci,14,35,0.4,9.7%,24.1%,12,33,0.4,9.0%,24.6%,3.0%,3.7%,0.6,14.5%,23.4%
2015 St. Petersburg R16,L vs Bautista Agut,43,55,0.8,19.5%,24.9%,40,45,0.9,20.1%,22.6%,12.6%,6.0%,0.9,17.2%,19.9%
2015 St. Petersburg R32,W vs Shyla,16,12,1.3,16.3%,12.2%,13,10,1.3,15.3%,11.8%,9.4%,1.2%,0.6,18.4%,32.7%
2015 US Open R64,L vs Seppi,34,50,0.7,14.5%,21.3%,27,40,0.7,13.9%,20.6%,9.3%,2.6%,0.9,18.7%,21.3%
2015 Washington R16,L vs Berankis,18,34,0.5,12.2%,23.1%,12,32,0.4,9.2%,24.6%,3.8%,3.8%,0.9,17.7%,19.7%
2015 Wimbledon R128,L vs Zverev,65,57,1.1,19.2%,16.8%,52,48,1.1,18.1%,16.7%,12.2%,4.5%,1.7,18.6%,11.2%
2015 Roland Garros R16,L vs Nishikori,13,30,0.4,7.0%,16.0%,11,25,0.4,6.5%,14.7%,4.7%,1.8%,1.2,21.4%,18.2%
2015 Roland Garros R32,W vs Rosol,31,29,1.1,18.6%,17.4%,23,27,0.9,15.3%,18.0%,11.3%,4.0%,0.7,14.4%,20.4%
2015 Roland Garros R64,W vs Monaco,32,37,0.9,18.9%,21.9%,27,36,0.8,17.2%,22.9%,12.7%,3.8%,0.3,5.9%,18.3%
2015 Roland Garros R128,W vs Lopez,36,25,1.4,18.2%,12.6%,27,22,1.2,15.5%,12.6%,8.6%,6.9%,0.9,13.1%,14.1%
Career (35 matches),,1167,1313,0.9,16.4%,18.4%,972,1163,0.8,15.4%,18.4%,9.4%,3.9%,1.0,17.3%,17.5%
