Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Moscow R32,L vs Bublik,26.0%,36.0%,58.3%,34.0%,44.4%,51.9%,66.7%,59.3%,53.3%,25.0%,0.0%,4.5%,18.2%,52.4%,-70
2016 Istanbul R32,L vs Dzumhur,8.8%,20.6%,47.5%,14.4%,12.5%,22.5%,48.6%,22.0%,31.3%,62.5%,85.7%,4.0%,20.0%,45.8%,-79
2016 Rotterdam R32,L vs Mahut,29.9%,42.9%,49.0%,35.5%,28.6%,40.5%,46.7%,38.8%,53.3%,37.0%,0.0%,34.4%,50.0%,52.4%,51
2016 Sydney SF,L vs Troicki,19.8%,27.9%,53.1%,25.3%,25.5%,38.3%,60.0%,35.7%,37.5%,34.8%,50.0%,14.7%,17.6%,44.8%,23
2015 Paris R64,L vs Bellucci,20.8%,26.0%,42.4%,25.1%,29.3%,36.6%,48.3%,37.3%,47.4%,59.1%,50.0%,11.8%,14.7%,36.7%,4
2015 St Petersburg R16,L vs Bautista Agut,16.4%,27.3%,54.9%,20.5%,22.6%,37.7%,41.5%,31.3%,65.4%,33.3%,0.0%,12.8%,21.3%,68.3%,-2
2015 St Petersburg R32,W vs Shyla,40.8%,46.9%,59.3%,46.5%,50.0%,59.1%,72.7%,62.7%,53.8%,33.3%,0.0%,36.0%,40.0%,50.0%,33
2015 Washington R16,L vs Berankis,41.1%,46.6%,43.9%,43.8%,50.0%,60.0%,50.0%,55.0%,58.8%,30.4%,20.0%,32.3%,32.3%,38.1%,13
2015 Barcelona R64,W vs Carreno Busta,18.8%,40.6%,64.2%,31.6%,17.5%,52.5%,69.7%,39.5%,50.0%,36.4%,50.0%,23.1%,26.9%,55.0%,78
2014 Monte Carlo R32,L vs Nadal,9.5%,16.7%,33.3%,16.0%,18.2%,31.8%,38.9%,30.5%,72.7%,54.5%,100.0%,0.0%,0.0%,27.8%,-118
2013 CH Tour Finals SF,L vs Volandri,25.0%,32.6%,47.7%,28.9%,35.0%,45.0%,43.6%,41.0%,40.7%,36.4%,30.0%,7.1%,10.7%,53.8%,-47
2013 CH Tour Finals RR,W vs Nedovyesov,21.4%,29.8%,58.1%,28.0%,27.1%,37.5%,60.0%,38.5%,29.6%,33.3%,50.0%,15.6%,21.9%,55.6%,35
2010 US Open R128,L vs Nadal,17.4%,38.0%,57.7%,30.5%,20.5%,45.8%,63.6%,39.6%,35.1%,26.1%,16.7%,11.4%,22.9%,45.2%,1
Career (13 matches),,22.2%,33.3%,52.0%,28.9%,28.0%,42.7%,54.3%,39.7%,46.0%,37.7%,35.8%,16.5%,23.4%,49.2%,45
