Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,1205,7,,,,,,,,,910,41,,
2023,1422,3,,,,,,,,,,,,
2021,281,201,301,1413,258,1420,289,1373,,,,,,
2020,276,192,243,1449,218,1443,214,1429,,,152,526,,
2019,271,158,285,1452,259,1432,231,1453,,,185,374,,
2018,368,50,272,1454,257,1411,175,1504,,,448,46,,
2017,237,220,250,1480,250,1428,166,1527,173,1450,281,208,,
2016,138,448,138,1621,147,1564,104,1633,140,1510,326,205,118,1515
2015,50,863,71,1746,79,1672,59,1730,93,1588,130,582,82,1623
2014,67,730,88,1714,87,1657,75,1681,87,1586,165,460,106,1524
2013,76,651,119,1653,114,1606,101,1629,107,1567,191,367,,
2012,182,275,203,1534,171,1525,190,1490,182,1457,307,210,,
2011,138,383,160,1592,157,1545,126,1583,155,1481,130,621,93,1609
2010,80,615,119,1650,132,1575,83,1659,146,1490,237,275,,
2009,106,518,141,1624,146,1562,95,1661,186,1449,184,358,,
2008,65,613,67,1751,67,1706,73,1703,,,279,199,,
2007,125,357,143,1613,118,1585,140,1571,164,1477,172,335,124,1451
2006,112,392,170,1567,161,1516,152,1546,,,279,194,,
2005,132,332,123,1644,117,1596,110,1604,,,323,145,,
2004,258,148,330,1360,286,1368,321,1313,240,1340,237,193,,
2003,281,121,,,,,,,,,409,99,,
2002,877,8,,,,,,,,,597,49,,
2001,948,7,,,,,,,,,,,,
