Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2017 Moscow R32,L vs Bublik,3.2,3.7,2.8,37.0%,60.7%,80.0%,50.0%,58.0%,17.2%,7.5,9.6,-6.5,-13.5
2016 Istanbul R32,L vs Dzumhur,5.1,5.2,4.9,39.2%,45.5%,36.8%,56.3%,49.2%,8.6%,10.5,8.5,-6.0,-5.3
2016 Rotterdam R32,L vs Mahut,3.6,3.2,4.0,46.1%,50.0%,54.5%,40.0%,49.8%,9.6%,9.5,8.4,5.5,5.6
2016 Sydney SF,L vs Troicki,4.2,4.3,4.0,40.9%,58.7%,47.4%,58.8%,42.8%,14.5%,19.0,14.4,-8.0,-5.3
2015 Paris R64,L vs Bellucci,4.2,4.4,4.0,48.8%,35.3%,40.0%,56.3%,38.8%,9.6%,-7.5,-7.6,-5.0,-3.6
2015 St Petersburg R16,L vs Bautista Agut,5.1,5.4,4.8,42.7%,51.1%,50.0%,55.9%,46.7%,12.5%,12.5,5.7,-1.0,-0.4
2015 St Petersburg R32,W vs Shyla,2.7,2.8,2.7,59.4%,69.6%,33.3%,66.7%,50.5%,2.1%,7.0,14.6,-0.5,-1.1
2015 Washington R16,L vs Berankis,3.2,2.5,3.8,48.1%,48.0%,45.5%,42.9%,56.8%,4.9%,-8.0,-7.5,0.0,0.0
2015 Barcelona R64,W vs Carreno Busta,4.2,4.3,4.1,52.3%,55.6%,52.9%,57.1%,44.2%,10.7%,19.5,17.6,-0.5,-0.4
2014 Monte Carlo R32,L vs Nadal,5.1,5.2,5.1,34.1%,36.0%,53.8%,26.7%,55.0%,4.4%,-0.5,-0.5,-5.5,-6.4
2013 CH Tour Finals SF,L vs Volandri,5.0,5.0,5.0,53.0%,48.8%,41.7%,43.5%,40.8%,8.0%,-0.5,-0.3,-7.0,-3.4
2013 CH Tour Finals RR,W vs Nedovyesov,3.8,4.0,3.6,47.6%,68.4%,69.2%,33.3%,52.3%,14.8%,8.5,6.5,2.5,2.4
2010 US Open R128,L vs Nadal,3.7,4.1,3.2,47.9%,47.1%,31.3%,40.0%,52.2%,8.6%,17.0,10.5,-9.5,-6.9
Career (13 matches),,4.1,4.2,4.0,46.5%,51.8%,47.5%,48.4%,47.9%,10.2%,7.3,6.0,-3.2,-2.7
