Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 US Open R16,L vs Anisimova,3.2,3.6,2.7,38.6%,33.3%,33.3%,50.0%,53.8%,9.1%,-2.5,-4.3,-3.5,-7.0
2025 Doha R64,L vs Frech,4.6,4.9,4.3,42.0%,53.5%,44.8%,68.2%,53.2%,7.2%,13.5,7.1,-9.0,-5.4
2024 Ningbo QF,L vs Badosa,3.3,3.6,3.1,42.9%,50.0%,16.7%,0.0%,59.5%,7.5%,1.0,1.3,-1.5,-3.1
2024 Seoul F,W vs Kasatkina,4.3,4.9,3.7,48.1%,50.0%,63.6%,60.0%,64.1%,7.9%,9.5,6.2,0.5,0.6
2024 US Open QF,L vs Muchova,3.8,4.2,3.4,40.0%,45.5%,46.2%,42.9%,60.1%,18.2%,-1.5,-1.9,-5.5,-12.5
2024 Cleveland F,L vs Kessler,4.3,3.9,4.6,51.1%,46.7%,50.0%,36.8%,47.4%,10.4%,10.0,8.5,1.0,0.8
2024 Madrid QF,L vs Swiatek,4.7,5.4,3.8,48.8%,27.9%,60.0%,28.6%,58.4%,2.2%,-2.0,-1.1,-3.5,-2.7
2024 Madrid R32,W vs Navarro,4.3,5.1,3.5,54.1%,50.0%,52.6%,45.5%,58.1%,9.2%,18.0,14.5,0.0,0.0
2024 Abu Dhabi SF,L vs Kasatkina,5.8,6.1,5.5,54.3%,50.0%,26.9%,41.9%,58.0%,10.7%,12.5,4.1,-9.0,-4.4
2024 Australian Open R32,L vs Timofeeva,5.6,5.6,5.6,50.8%,36.1%,47.6%,44.4%,48.3%,8.2%,0.0,0.0,-2.5,-1.5
2024 Australian Open R64,W vs Korneeva,5.6,6.7,4.6,61.9%,76.0%,54.5%,57.9%,66.8%,11.8%,17.5,11.9,7.0,10.4
2023 United Cup RR,L vs Swiatek,5.1,4.9,5.3,33.3%,40.9%,35.3%,42.9%,51.9%,7.9%,-3.0,-2.9,-5.0,-5.6
2023 Zhuhai F,W vs Zheng,3.7,3.8,3.6,51.8%,57.1%,68.4%,27.3%,62.9%,11.1%,10.5,6.6,9.0,10.5
2023 Roland Garros SF,L vs Swiatek,4.9,5.3,4.5,42.3%,53.6%,42.9%,56.3%,65.6%,4.0%,11.5,6.3,-2.0,-2.2
2023 Roland Garros QF,W vs Jabeur,3.7,4.0,3.4,50.4%,59.6%,37.0%,30.0%,44.1%,9.8%,19.0,14.8,7.5,4.8
2023 Roland Garros R16,W vs Sorribes Tormo,6.4,6.7,6.1,50.6%,58.1%,55.1%,41.5%,71.3%,9.1%,42.0,9.0,8.0,4.5
2023 Roland Garros R32,W vs Alexandrova,4.3,4.7,3.8,58.4%,42.4%,48.0%,50.0%,46.3%,8.9%,12.0,6.9,-3.0,-1.6
2023 Roland Garros R64,W vs Shnaider,4.7,5.0,4.5,53.3%,51.0%,60.0%,48.0%,71.9%,10.3%,17.0,6.1,-0.5,-0.5
2023 Roland Garros R128,W vs Maria,3.9,3.6,4.2,69.8%,59.4%,50.0%,83.3%,67.2%,14.0%,12.5,15.2,5.5,15.3
2023 Rome QF,L vs Kalinina,5.0,5.0,5.0,50.0%,49.3%,43.2%,51.6%,60.0%,7.0%,14.5,4.7,1.0,0.5
Last 52 Weeks (1 matches),,3.2,3.6,2.7,38.6%,33.3%,33.3%,50.0%,53.8%,9.1%,-2.5,-4.3,-3.5,-7.0
Career (45 matches),,4.5,4.7,4.3,50.2%,48.7%,48.1%,45.4%,57.6%,8.2%,6.8,4.2,-1.0,-0.9
