Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,17,10,7,58.8%,3,1,2,33.3%,2018,2026,R32,17,1.06,2.7%,4.6%,66.8%,64.2%,49.2%,59.2%,43.3%,58.3%,45.2%
Roland Garros,8,Clay,20,12,8,60.0%,5,2,3,40.0%,2015,2025,SF,12,1.01,2.1%,4.2%,69.3%,58.6%,43.8%,54.0%,46.6%,55.6%,44.4%
Wimbledon,8,Grass,21,13,8,61.9%,5,2,3,40.0%,2015,2025,R16,20,1.10,4.6%,5.6%,67.4%,68.2%,50.1%,62.3%,41.3%,60.2%,44.4%
US Open,8,Hard,19,11,8,57.9%,3,1,2,33.3%,2016,2025,QF,18,1.10,3.6%,5.5%,66.4%,67.7%,46.1%,60.4%,43.7%,68.3%,48.0%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2024,2024,R32,2,0.88,0.0%,3.5%,67.5%,49.4%,40.5%,46.5%,47.0%,44.4%,61.5%
Fed Cup,4,,14,7,7,50.0%,8,4,4,50.0%,2015,2019,,10,1.07,3.3%,4.4%,66.3%,63.7%,51.1%,59.5%,43.5%,55.7%,43.2%
Miami,9,Hard,17,8,9,47.1%,5,3,2,60.0%,2016,2026,R32,17,0.95,3.2%,5.2%,66.3%,62.7%,45.1%,56.8%,41.1%,58.6%,46.3%
Indian Wells,7,Hard,14,6,8,42.9%,3,2,1,66.7%,2018,2026,R16,14,0.96,2.6%,5.6%,63.6%,61.7%,42.9%,54.8%,43.5%,54.2%,41.9%
Merida,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2025,2026,R16,2,0.90,0.6%,7.5%,64.2%,55.9%,35.5%,48.6%,46.1%,50.0%,61.5%
Doha,5,Hard,11,5,6,45.5%,2,2,0,100.0%,2022,2026,QF,11,1.01,3.2%,5.5%,68.8%,62.3%,45.1%,57.0%,43.6%,48.6%,53.7%
Abu Dhabi,3,Hard,9,6,3,66.7%,6,3,3,50.0%,2023,2026,SF,9,1.03,1.8%,3.2%,76.8%,63.1%,43.4%,58.5%,42.6%,61.5%,43.8%
Adelaide,3,Hard,3,0,3,0.0%,0,0,0,-,2024,2026,R32,3,0.68,3.2%,4.9%,64.3%,57.1%,40.9%,51.4%,33.0%,38.1%,50.0%
