Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,7,0,7,0.0%,3-14,17.6%,56-100,35.9%,1-0,100.0%,7,46.8%,24.4%,1.9%,8.7%,61.7%,57.2%,34.7%,48.6%,39.9%,44.3%,0.78,R32 (3x)
2025,42,16,26,38.1%,44-59,42.7%,456-508,47.3%,6-7,46.2%,38,68.1%,27.7%,3.3%,6.9%,64.4%,64.7%,45.2%,57.8%,40.9%,49.3%,0.97,SF (Strasbourg)
2024,65,38,27,58.5%,83-63,56.8%,710-640,52.6%,8-4,66.7%,63,69.5%,34.8%,3.1%,4.8%,65.5%,64.6%,46.3%,58.3%,43.6%,51.0%,1.05,W (Seoul)
2023,59,37,22,62.7%,81-58,58.3%,729-641,53.2%,15-12,55.6%,57,72.1%,34.5%,3.1%,3.8%,69.2%,64.1%,48.6%,59.3%,44.0%,51.4%,1.08,W (Zhuhai)
2022,58,37,21,63.8%,78-59,56.9%,674-607,52.6%,10-3,76.9%,55,71.6%,33.0%,3.8%,5.7%,65.6%,66.8%,46.8%,59.9%,42.6%,51.1%,1.06,W (2x)
2021,4,2,2,50.0%,5-4,55.6%,35-38,47.9%,0-0,-,4,50.0%,45.9%,2.4%,3.9%,62.4%,56.6%,38.5%,49.8%,47.9%,48.8%,0.95,R16 (Indian Wells)
2019,18,9,9,50.0%,23-20,53.5%,221-201,52.4%,3-6,33.3%,18,74.9%,30.9%,3.0%,5.1%,70.8%,63.4%,49.3%,59.3%,42.0%,50.7%,1.03,SF (Bogota)
2018,18,8,10,44.4%,20-21,48.8%,200-202,49.8%,4-4,50.0%,18,66.2%,33.0%,2.5%,6.3%,64.3%,64.6%,43.1%,56.9%,43.0%,49.8%,1.00,R16 (2x)
2017,26,14,12,53.8%,33-27,55.0%,286-267,51.7%,4-3,57.1%,26,74.7%,31.3%,2.2%,5.0%,68.8%,64.8%,47.2%,59.3%,41.7%,50.7%,1.03,F (Seoul)
2016,6,2,4,33.3%,5-8,38.5%,55-65,45.8%,1-1,50.0%,3,50.0%,18.8%,2.2%,12.0%,58.7%,60.2%,32.9%,48.9%,36.0%,42.0%,0.71,
2015,6,3,3,50.0%,7-6,53.8%,67-56,54.5%,1-3,25.0%,5,62.7%,49.0%,4.9%,2.6%,59.7%,63.8%,48.6%,57.6%,48.0%,52.8%,1.13,QF (Rio de Janeiro)
2014,2,0,2,0.0%,0-4,0.0%,9-24,27.3%,0-0,-,2,-,-,1.7%,4.2%,67.8%,55.0%,18.4%,43.2%,37.6%,40.4%,0.66,R32 (2x)
2013,2,1,1,50.0%,3-2,60.0%,26-17,60.5%,0-1,0.0%,2,-,-,1.9%,2.5%,68.9%,64.0%,50.0%,59.6%,45.2%,53.3%,1.12,R16 (Florianopolis)
Career,313,167,146,53.4%,385-345,52.7%,3524-3366,51.1%,53-44,54.6%,298,69.7%,32.7%,3.1%,5.2%,66.5%,64.5%,46.1%,58.3%,42.8%,50.5%,1.03,
