Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Angers R16,W vs Monnot,4.6,4.3,4.7,52.0%,54.5%,55.0%,70.6%,40.5%,7.4%,3.0,2.6,-4.5,-2.8
2025 US Open R64,L vs Kostyuk,3.6,3.7,3.5,46.9%,50.0%,37.5%,72.7%,55.5%,7.1%,-2.0,-1.2,-7.5,-5.8
2025 Wimbledon R64,W vs Wang,4.5,4.7,4.3,52.4%,43.2%,58.3%,64.3%,50.7%,9.3%,7.0,4.7,10.0,7.4
2025 Merida QF,L vs Navarro,5.1,4.7,5.7,35.6%,45.2%,50.0%,53.8%,48.7%,5.8%,0.5,0.4,3.5,3.1
2025 Doha R64,L vs Kostyuk,3.7,3.9,3.5,40.8%,48.0%,58.8%,20.0%,51.4%,5.7%,-2.0,-1.9,-0.5,-0.5
2024 Merida F,W vs Li,4.3,4.0,4.6,55.9%,80.0%,61.5%,41.7%,48.8%,1.9%,13.5,13.9,3.0,3.0
2024 Merida SF,W vs Korneeva,4.0,4.2,3.9,53.1%,55.9%,61.9%,36.4%,49.6%,7.9%,3.5,3.0,5.0,4.3
2024 Berlin R16,L vs Azarenka,4.1,4.4,3.9,43.8%,40.0%,45.5%,50.0%,51.4%,2.9%,-1.0,-0.9,-0.5,-0.5
2023 s Hertogenbosch R32,L vs Andreescu,3.4,3.4,3.4,49.4%,50.0%,21.4%,40.0%,44.2%,2.1%,3.0,4.1,-3.0,-3.3
Last 52 Weeks (3 matches),,4.1,4.2,4.1,49.8%,49.6%,50.0%,69.0%,49.1%,7.9%,2.7,1.8,-0.7,-0.5
Career (9 matches),,4.1,4.1,4.1,48.1%,51.1%,50.6%,53.9%,49.1%,6.0%,2.8,2.4,0.6,0.5
