Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,10,7,3,70.0%,2,1,1,50.0%,2024,2026,R32,10,1.09,2.4%,4.7%,61.6%,64.7%,43.0%,56.4%,47.6%,59.1%,54.0%
Roland Garros,2,Clay,5,3,2,60.0%,2,1,1,50.0%,2024,2025,R128,5,0.97,0.3%,3.7%,62.5%,54.0%,40.5%,48.9%,49.4%,44.7%,57.5%
Wimbledon,3,Grass,7,4,3,57.1%,2,1,1,50.0%,2023,2025,R32,7,1.05,0.2%,5.8%,61.1%,66.4%,40.8%,56.4%,45.8%,48.1%,51.4%
US Open,3,Hard,6,3,3,50.0%,2,1,1,50.0%,2023,2025,R64,6,1.09,0.2%,5.5%,55.8%,62.0%,56.8%,59.7%,43.8%,50.0%,41.8%
Miami,2,Hard,3,1,2,33.3%,0,0,0,-,2025,2026,R64,3,0.92,3.5%,4.1%,59.3%,58.8%,47.1%,54.1%,42.4%,35.3%,58.8%
Indian Wells,2,Hard,4,2,2,50.0%,2,1,1,50.0%,2025,2026,R64,3,1.15,0.5%,5.6%,57.4%,65.5%,54.8%,60.9%,45.0%,68.8%,44.0%
Merida,3,Hard,11,9,2,81.8%,3,3,0,100.0%,2024,2026,W,11,1.13,0.9%,6.6%,59.5%,61.9%,49.0%,56.7%,49.0%,56.5%,50.5%
Dubai,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2026,R64,2,0.58,0.0%,4.8%,48.8%,41.5%,37.2%,39.3%,35.0%,43.8%,42.9%
Doha,3,Hard,3,0,3,0.0%,0,0,0,-,2024,2026,R64,3,0.78,0.5%,6.8%,57.5%,58.3%,31.9%,47.1%,41.5%,55.3%,28.0%
Abu Dhabi,2,Hard,3,1,2,33.3%,0,0,0,-,2025,2026,R32,3,0.90,0.9%,4.2%,58.3%,55.6%,46.7%,51.9%,43.5%,50.0%,55.0%
