Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Angers 125 R16,W vs Monnot,24,33,0.7,15.9%,21.9%,23,33,0.7,15.6%,22.4%,9.5%,6.1%,0.3,7.3%,23.2%
2025 US Open R64,L vs Kostyuk,12,59,0.2,5.6%,27.7%,12,53,0.2,6.4%,28.2%,4.8%,1.6%,0.5,14.1%,30.5%
2025 Wimbledon R64,W vs Wang,22,30,0.7,13.8%,18.9%,22,28,0.8,14.8%,18.8%,7.4%,6.0%,0.5,10.7%,22.0%
2025 Merida QF,L vs Navarro,11,29,0.4,10.7%,28.2%,11,25,0.4,11.1%,25.3%,5.1%,6.1%,0.4,6.8%,16.5%
2025 Doha R64,L vs Kostyuk,14,34,0.4,9.5%,23.1%,14,28,0.5,10.3%,20.6%,5.9%,4.4%,0.7,15.0%,20.4%
2024 Merida F,W vs Li,11,17,0.6,10.1%,15.6%,10,12,0.8,10.1%,12.1%,8.1%,2.0%,0.4,13.8%,35.8%
2024 Merida SF,W vs Korneeva,16,33,0.5,10.9%,22.4%,15,29,0.5,11.8%,22.8%,4.7%,7.1%,0.5,13.6%,26.5%
2024 Berlin R16,L vs Azarenka,16,27,0.6,12.5%,21.1%,15,25,0.6,12.5%,20.8%,6.7%,5.8%,1.0,13.3%,13.3%
2023 s Hertogenbosch R32,L vs Andreescu,6,21,0.3,4.8%,16.9%,6,18,0.3,5.1%,15.4%,3.4%,1.7%,0.5,12.1%,22.6%
Career (9 matches),,132,283,0.5,10.3%,22.1%,128,251,0.5,10.8%,21.2%,6.2%,4.5%,0.5,12.0%,23.8%
