Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,27,15,12,55.6%,35-23,60.3%,295-255,53.6%,5-2,71.4%,3,55.9%,37.1%,3.8%,9.5%,54.0%,65.5%,39.7%,53.6%,45.3%,49.6%,0.98,F (W60 Kyoto)
2018,60,39,21,65.0%,83-56,59.7%,675-575,54.0%,4-4,50.0%,1,44.4%,22.2%,0.0%,6.0%,50.0%,48.0%,48.0%,48.0%,40.0%,43.5%,0.77,F (3x)
2017,14,7,7,50.0%,16-15,51.6%,144-143,50.2%,1-1,50.0%,3,58.1%,50.0%,2.3%,9.6%,51.8%,61.1%,42.9%,52.3%,49.2%,50.9%,1.03,QF (3x)
2016,28,18,10,64.3%,38-27,58.5%,309-283,52.2%,3-1,75.0%,3,48.5%,35.3%,1.0%,10.2%,62.4%,61.7%,26.0%,48.3%,43.1%,45.6%,0.83,W (2x)
2015,42,26,16,61.9%,58-44,56.9%,471-441,51.6%,5-1,83.3%,0,,,,,,,,,,,,W (Suzhou $50K)
2014,37,23,14,62.2%,49-34,59.0%,414-374,52.5%,7-3,70.0%,3,-,-,0.8%,5.4%,61.1%,51.0%,45.0%,48.6%,44.3%,46.6%,0.86,W (2x)
2013,13,6,7,46.2%,14-16,46.7%,134-138,49.3%,0-1,0.0%,0,,,,,,,,,,,,SF (Antalya 10K)
2012,27,14,13,51.9%,30-30,50.0%,261-272,49.0%,2-1,66.7%,0,,,,,,,,,,,,F (Huzhu 15K)
2011,16,9,7,56.3%,17-17,50.0%,159-151,51.3%,3-1,75.0%,0,,,,,,,,,,,,F (Jakarta 10K)
2010,17,8,9,47.1%,17-23,42.5%,182-211,46.3%,4-3,57.1%,0,,,,,,,,,,,,SF (2x)
2009,1,0,1,0.0%,1-2,33.3%,12-15,44.4%,0-0,-,0,,,,,,,,,,,,R32 (Xiamen 25K)
2008,1,0,1,0.0%,1-2,33.3%,12-17,41.4%,0-0,-,0,,,,,,,,,,,,R32 (Sutama 10K)
Career,283,165,118,58.3%,359-289,55.4%,3068-2875,51.6%,34-18,65.4%,13,53.3%,39.1%,1.9%,8.5%,56.9%,58.9%,39.7%,50.7%,45.0%,47.9%,0.91,
