Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,10,5,5,50.0%,6,2,4,33.3%,2016,2023,R64,7,0.83,5.1%,6.3%,62.0%,67.3%,38.8%,56.5%,36.0%,60.2%,48.7%
Roland Garros,9,Clay,16,7,9,43.8%,4,1,3,25.0%,2013,2023,R64,14,0.99,1.1%,4.6%,65.0%,62.4%,46.0%,56.7%,42.7%,57.8%,44.5%
Wimbledon,7,Grass,9,2,7,22.2%,4,1,3,25.0%,2013,2022,R128,5,0.86,5.9%,6.8%,61.6%,64.9%,48.6%,58.6%,35.5%,51.2%,40.7%
US Open,6,Hard,7,1,6,14.3%,4,2,2,50.0%,2013,2022,Q2,3,0.81,3.3%,7.5%,58.8%,68.8%,43.4%,58.3%,33.7%,65.6%,15.0%
Davis Cup,1,,1,0,1,0.0%,1,0,1,0.0%,2016,2016,,1,1.06,6.1%,5.2%,66.1%,72.4%,51.3%,65.2%,36.9%,71.4%,13.3%
Umag,4,Clay,10,5,5,50.0%,4,2,2,50.0%,2014,2024,R16,10,1.00,1.7%,3.3%,58.9%,64.1%,50.6%,58.5%,41.4%,57.3%,38.8%
Lyon,2,Clay,4,1,3,25.0%,0,0,0,-,2017,2024,R32,4,0.85,3.3%,2.6%,63.4%,61.3%,43.0%,54.6%,38.5%,50.0%,38.5%
Cordoba,5,Clay,7,2,5,28.6%,1,1,0,100.0%,2020,2024,Q2,7,0.85,2.6%,6.3%,62.1%,61.6%,48.1%,56.5%,36.8%,50.9%,38.1%
Hamburg,5,Clay,10,5,5,50.0%,6,4,2,66.7%,2014,2023,SF,8,0.95,4.3%,4.3%,58.3%,68.5%,47.4%,59.7%,38.4%,68.4%,42.4%
Miami Masters,5,Hard,7,2,5,28.6%,2,0,2,0.0%,2016,2023,Q2,7,0.86,3.0%,6.2%,59.7%,67.6%,47.5%,59.5%,35.0%,57.1%,62.5%
Santiago,4,Clay,14,10,4,71.4%,7,6,1,85.7%,2020,2023,SF,14,1.02,2.5%,6.4%,65.4%,65.6%,45.9%,58.8%,41.9%,53.4%,41.8%
