Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2021 Roland Garros Q1,W vs Haase,69% (11/16),100% (8/8),2/3,1/2,63% (10/16),0/1,0/0,40% (2/5),33% (2/6)
2020 Santiago SF,L vs Seyboth Wild,44% (4/9),0% (0/3),0/0,0/0,71% (10/14),3/5,3/4,- (0/0),- (0/0)
2019 Cordenons CH R32,L vs Brkic,60% (12/20),33% (4/12),1/1,0/0,60% (6/10),0/2,0/1,60% (3/5),17% (1/6)
2019 Augsburg CH R32,L vs Garcia Lopez,83% (10/12),0% (0/9),0/0,0/0,83% (5/6),1/3,1/2,25% (1/4),20% (1/5)
2019 Milan CH R16,L vs Dellien,50% (6/12),67% (6/9),1/1,0/0,43% (6/14),1/3,0/1,67% (4/6),60% (3/5)
2019 Milan CH R32,W vs Griekspoor,73% (8/11),40% (4/10),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Milan CH R64,W vs Cid,46% (6/13),55% (6/11),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Samarkand CH R64,W vs Marchenko,70% (7/10),100% (5/5),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Rome CH R32,L vs Viola,50% (4/8),80% (4/5),0/0,0/0,14% (1/7),0/2,0/1,- (0/0),- (0/0)
2019 Leon CH R64,L vs Broady,33% (3/9),50% (2/4),0/0,0/0,38% (3/8),1/3,1/2,- (0/0),- (0/0)
2019 San Luis Potosi CH R64,L vs Barrios Vera,42% (5/12),100% (1/1),0/0,0/0,60% (6/10),1/3,1/2,- (0/0),- (0/0)
2019 Monterrey CH R32,L vs Sandgren,69% (11/16),60% (3/5),1/4,0/2,71% (10/14),1/3,0/1,63% (5/8),25% (2/8)
2019 Monterrey CH R64,W vs Uchida,77% (10/13),38% (3/8),2/3,1/2,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 Drummondville CH R32,L vs Zopp,64% (9/14),17% (2/12),1/1,0/0,60% (6/10),1/3,1/2,- (0/0),- (0/0)
2019 Drummondville CH R64,W vs Baadi,54% (7/13),56% (5/9),2/4,1/1,63% (5/8),0/0,0/0,- (0/0),- (0/0)
2019 Santiago CH R32,L vs Bellucci,38% (8/21),25% (1/4),0/0,0/0,40% (2/5),1/3,0/1,- (0/0),- (0/0)
2019 Santiago CH R64,W vs Nunez,75% (9/12),43% (3/7),2/3,1/1,60% (3/5),1/1,0/0,57% (4/7),57% (4/7)
2019 Cuernavaca CH QF,L vs King,83% (15/18),50% (1/2),1/1,0/0,78% (7/9),4/6,1/2,45% (5/11),55% (6/11)
2019 Cuernavaca CH R16,W vs Novikov,67% (8/12),57% (4/7),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Cuernavaca CH R32,W vs Cid,59% (10/17),100% (2/2),2/3,1/1,67% (2/3),0/0,0/0,67% (4/6),60% (3/5)
2021 (1 matches),,68.8%,100.0%,66.7%,50.0%,62.5%,0.0%,-,40.0%,33.3%
2020 (1 matches),,44.4%,0.0%,-,-,71.4%,60.0%,75.0%,-,-
2019 (25 matches),,61.1%,43.9%,62.7%,61.9%,59.6%,42.2%,40.0%,55.2%,47.5%
2018 (22 matches),,56.7%,44.9%,45.1%,42.9%,60.7%,59.7%,58.1%,57.6%,36.2%
2017 (42 matches),,60.8%,40.6%,57.7%,58.6%,53.9%,52.0%,43.2%,72.5%,36.4%
Career (248 matches),,59.6%,41.1%,55.7%,58.8%,58.1%,49.0%,47.7%,62.3%,40.7%
