Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,36,14,22,38.9%,40-49,44.9%,411-439,48.4%,5-6,45.5%,36,77.9%,18.0%,11.1%,4.3%,59.5%,73.5%,48.7%,63.4%,33.9%,48.9%,0.93
Clay,8,3,5,37.5%,9-12,42.9%,94-107,46.8%,0-2,0.0%,8,73.5%,20.4%,6.8%,6.3%,57.1%,73.0%,41.5%,59.5%,35.6%,48.2%,0.88
Grand Slams,4,0,4,0.0%,6-11,35.3%,68-91,42.8%,1-1,50.0%,4,65.8%,16.5%,7.3%,5.4%,55.2%,71.6%,42.1%,58.4%,34.3%,47.1%,0.82
Masters,21,12,9,57.1%,26-20,56.5%,239-216,52.5%,3-4,42.9%,21,84.8%,19.9%,10.8%,4.8%,61.3%,76.7%,50.0%,66.3%,34.8%,50.7%,1.04
Other Tours,19,5,14,26.3%,17-30,36.2%,198-239,45.3%,1-3,25.0%,19,72.9%,17.7%,10.7%,4.3%,58.1%,70.5%,46.6%,60.5%,33.5%,47.4%,0.85
Best of 5,4,0,4,0.0%,6-11,35.3%,68-91,42.8%,1-1,50.0%,4,65.8%,16.5%,7.3%,5.4%,55.2%,71.6%,42.1%,58.4%,34.3%,47.1%,0.82
Best of 3,40,17,23,42.5%,43-50,46.2%,437-455,49.0%,4-7,36.4%,40,79.1%,18.8%,10.8%,4.5%,59.7%,73.7%,48.3%,63.5%,34.2%,49.1%,0.94
Semi-finals,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-1,0.0%,1,80.0%,0.0%,15.5%,1.7%,69.0%,77.5%,44.4%,67.2%,18.3%,42.4%,0.56
Quarter-finals,2,1,1,50.0%,2-2,50.0%,18-17,51.4%,0-0,-,2,72.2%,29.4%,10.2%,3.9%,61.4%,69.2%,42.9%,59.1%,37.1%,49.1%,0.91
vs Righties,36,15,21,41.7%,41-48,46.1%,415-445,48.3%,4-6,40.0%,36,77.9%,17.8%,10.1%,4.7%,59.2%,73.7%,47.7%,63.1%,33.8%,48.9%,0.92
vs Lefties,7,1,6,14.3%,6-12,33.3%,74-92,44.6%,1-2,33.3%,7,70.4%,19.5%,11.1%,5.3%,56.8%,71.3%,42.6%,58.9%,35.2%,47.1%,0.86
vs Top 10,8,3,5,37.5%,8-12,40.0%,94-105,47.2%,0-4,0.0%,8,77.6%,17.3%,11.9%,4.0%,62.5%,74.7%,43.5%,63.0%,33.4%,48.5%,0.90
