Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Warsaw 125,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,R32,2,0.91,3.0%,11.0%,51.2%,54.8%,36.3%,45.7%,49.4%,36.4%,50.0%
Warsaw,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2022,2023,R32,2,0.80,3.7%,6.7%,49.7%,61.7%,42.7%,52.1%,38.5%,63.6%,17.4%
