Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 ITF Trnava R32,W vs Korpatsch,27.1%,35.6%,46.5%,25.0%,37.5%,53.3%,50.0%,50.0%,0.0%,31.6%,31.6%,30.8%,100.0%,25.0%,0.0%,-104
2021 Gdynia R32,W vs Bondarenko,38.5%,53.8%,56.5%,50.0%,66.7%,58.3%,46.2%,45.5%,0.0%,21.4%,35.7%,54.5%,60.0%,11.1%,-,-23
Career (2 matches),,31.6%,42.9%,50.0%,34.4%,48.4%,54.8%,48.6%,48.3%,0.0%,27.3%,33.3%,41.7%,83.3%,19.0%,0.0%,-68
