Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 ITF Trnava R32,W vs Korpatsch,0.0%,-,17.0%,73.7%,11.3%,6.7%,0.0%,18.3%,11.1%,3.9%,0.0%,38,22
2021 Gdynia R32,W vs Bondarenko,0.0%,-,7.1%,83.3%,28.6%,33.3%,0.0%,12.9%,16.7%,1.9%,50.0%,113,123
Career (2 matches),,0.0%,-,12.7%,76.0%,16.7%,11.1%,0.0%,16.7%,12.5%,3.2%,11.1%,65,59
