Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),293,177,327,1438,293,1419,322,1367,,,,,,
2025,297,178,293,1475,248,1468,306,1385,,,,,,
2024,298,174,355,1386,324,1369,336,1350,252,1335,261,254,,
2023,286,195,342,1379,318,1361,303,1368,236,1357,,,,
2022,254,212,295,1448,262,1425,280,1414,,,,,,
2021,336,144,281,1443,254,1423,323,1319,,,,,,
2020,387,104,,,,,,,,,569,69,,
2019,385,94,,,,,,,,,598,59,,
2018,606,3,,,,,,,,,750,3,,
2017,1003,10,,,,,,,,,1210,16,,
2016,584,54,,,,,,,,,660,75,,
2015,511,71,,,,,,,,,424,149,,
2014,906,16,,,,,,,,,773,50,,
2013,1313,4,,,,,,,,,1632,6,,
