Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,220,117,103,53.2%,262-248,51.4%,2454-2401,50.5%,37-28,56.9%,215,70.4%,30.6%,7.2%,3.7%,58.4%,67.6%,47.1%,59.0%,42.0%,50.4%,1.03
Clay,86,52,34,60.5%,116-84,58.0%,971-912,51.6%,16-8,66.7%,86,66.1%,36.6%,5.4%,3.9%,57.8%,65.5%,45.3%,57.0%,44.3%,50.6%,1.03
Grass,44,25,19,56.8%,54-44,55.1%,498-457,52.1%,5-6,45.5%,43,74.3%,30.5%,7.5%,3.8%,61.9%,70.2%,45.2%,60.6%,41.3%,51.0%,1.05
Grand Slams,50,24,26,48.0%,59-57,50.9%,553-543,50.5%,7-8,46.7%,50,69.5%,31.3%,6.2%,3.9%,58.7%,67.9%,44.4%,58.2%,42.1%,50.3%,1.01
Premiers,157,85,72,54.1%,189-172,52.4%,1786-1721,50.9%,26-26,50.0%,155,71.1%,30.5%,7.2%,3.7%,58.6%,67.3%,47.5%,59.1%,41.6%,50.3%,1.02
Internationals,84,55,29,65.5%,114-75,60.3%,932-803,53.7%,14-5,73.7%,82,70.0%,37.0%,6.6%,3.9%,59.0%,67.5%,46.3%,58.8%,44.7%,51.5%,1.08
Finals,7,2,5,28.6%,5-10,33.3%,58-77,43.0%,0-1,0.0%,7,58.2%,28.4%,5.9%,3.9%,56.5%,61.7%,43.5%,53.8%,40.7%,47.1%,0.88
Semi-finals,20,5,15,25.0%,14-29,32.6%,180-233,43.6%,3-3,50.0%,19,66.5%,21.3%,7.3%,3.6%,58.5%,67.3%,41.6%,56.6%,37.3%,47.1%,0.86
Quarter-finals,42,21,21,50.0%,50-52,49.0%,479-481,49.9%,7-4,63.6%,39,66.1%,31.4%,5.2%,3.2%,58.5%,64.4%,46.0%,56.7%,41.7%,49.3%,0.96
vs Righties,311,172,139,55.3%,388-334,53.7%,3506-3369,51.0%,53-37,58.9%,305,69.5%,32.2%,6.8%,3.8%,58.9%,67.2%,46.1%,58.6%,42.6%,50.5%,1.03
vs Lefties,35,18,17,51.4%,38-42,47.5%,380-387,49.5%,5-5,50.0%,35,70.9%,28.9%,6.1%,3.8%,56.5%,67.5%,48.7%,59.3%,41.4%,50.0%,1.02
vs Top 10,44,16,28,36.4%,38-66,36.5%,427-555,43.5%,6-7,46.2%,43,63.3%,23.8%,5.8%,3.9%,58.9%,65.3%,42.1%,55.8%,38.5%,47.1%,0.87
