Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 US Open R128,L vs Tjen,27.5%,38.5%,47.6%,40.4%,55.8%,54.8%,62.1%,60.9%,100.0%,11.1%,16.7%,40.6%,84.6%,47.8%,25.0%,-11
2025 Cincinnati SF,L vs Paolini,34.9%,47.7%,48.1%,45.8%,64.6%,65.4%,41.7%,41.7%,0.0%,23.5%,29.4%,30.8%,57.1%,60.0%,0.0%,23
2025 Cincinnati R16,W vs Linette,33.3%,42.1%,58.3%,53.3%,66.7%,42.9%,42.9%,37.5%,100.0%,12.0%,16.0%,68.2%,27.3%,57.1%,66.7%,-14
2025 Montreal R64,W vs Danilovic,39.1%,54.3%,69.2%,54.5%,68.2%,60.0%,60.0%,25.0%,-,27.3%,45.5%,75.0%,75.0%,10.0%,-,-3
2025 Charleston R32,L vs Anisimova,23.9%,30.4%,43.8%,29.2%,33.3%,29.4%,10.0%,64.3%,0.0%,21.1%,31.6%,60.0%,54.5%,75.0%,0.0%,61
2025 Charleston R32,W vs Mateas,37.8%,45.9%,56.5%,46.2%,50.0%,50.0%,38.5%,15.4%,-,18.2%,36.4%,66.7%,0.0%,66.7%,100.0%,-104
2025 Miami R64,L vs Andreeva,23.7%,32.2%,31.6%,31.4%,45.7%,33.3%,50.0%,35.3%,33.3%,17.6%,17.6%,28.6%,25.0%,46.2%,100.0%,25
2025 Doha R64,L vs Linette,18.3%,32.9%,44.6%,23.6%,41.8%,45.2%,61.5%,55.2%,0.0%,8.0%,16.0%,43.5%,35.7%,54.5%,50.0%,-33
2025 Australian Open R16,L vs Svitolina,12.2%,20.4%,39.5%,19.0%,33.3%,52.9%,63.6%,60.0%,50.0%,7.1%,10.7%,30.8%,23.1%,73.3%,66.7%,-104
2025 Australian Open R128,W vs Gadecki,43.2%,51.4%,55.0%,53.6%,60.7%,53.8%,25.0%,43.8%,-,12.5%,25.0%,57.1%,0.0%,66.7%,100.0%,9
2024 Tokyo R32,L vs Tomova,13.3%,32.5%,45.8%,14.0%,35.1%,46.9%,50.0%,40.5%,57.1%,11.5%,26.9%,43.5%,53.3%,90.9%,100.0%,-104
2024 Wimbledon R128,L vs Krejcikova,28.8%,40.8%,45.3%,35.1%,51.9%,52.0%,21.2%,50.0%,60.0%,20.0%,24.4%,36.1%,41.2%,71.4%,100.0%,-28
2024 Berlin R16,L vs Rybakina,36.4%,41.6%,32.6%,46.9%,55.1%,34.6%,19.2%,52.2%,33.3%,20.0%,20.0%,30.0%,28.6%,72.2%,100.0%,25
2024 Rome R64,L vs Kerber,5.7%,17.1%,40.6%,11.1%,27.8%,43.8%,22.2%,44.4%,66.7%,0.0%,6.3%,37.5%,100.0%,0.0%,-,-119
2024 Stuttgart R32,W vs Krejcikova,16.4%,27.0%,51.0%,21.3%,36.3%,58.7%,36.6%,30.8%,57.1%,7.5%,10.0%,37.8%,42.9%,15.4%,0.0%,-46
2024 Charleston QF,L vs Sakkari,20.8%,26.4%,31.0%,27.3%,33.3%,29.2%,12.5%,17.6%,0.0%,10.0%,15.0%,33.3%,0.0%,27.3%,0.0%,-104
2023 Tokyo F,W vs Pegula,26.9%,40.4%,67.6%,26.5%,44.1%,64.0%,26.7%,47.4%,-,29.4%,35.3%,75.0%,75.0%,77.8%,-,-37
2023 Tokyo QF,W vs Swiatek,31.7%,35.4%,50.0%,38.3%,42.6%,51.7%,32.0%,22.7%,0.0%,24.2%,27.3%,48.0%,53.8%,55.0%,-,-35
2023 San Diego R32,L vs Kenin,31.5%,37.0%,51.6%,30.4%,43.5%,56.3%,40.0%,38.5%,0.0%,40.0%,40.0%,46.7%,35.7%,72.7%,0.0%,97
2023 Wimbledon R64,L vs Vondrousova,11.8%,24.7%,45.1%,14.0%,31.6%,51.0%,22.2%,43.3%,42.9%,8.3%,12.5%,31.8%,53.8%,81.8%,100.0%,-36
Last 52 Weeks (6 matches),,32.2%,43.0%,52.2%,44.6%,57.4%,51.8%,46.0%,43.1%,60.0%,18.4%,27.2%,52.5%,56.1%,51.9%,36.4%,1
Career (75 matches),,25.4%,36.1%,44.5%,33.2%,47.2%,48.8%,40.8%,41.3%,39.5%,16.5%,23.1%,39.4%,44.0%,52.4%,52.8%,2
