Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Wimbledon R128,W vs Michelsen,42.4%,55.6%,50.6%,48.5%,60.6%,77.7%,67.6%,70.4%,50.0%,50.0%,100.0%,13.7%,21.6%,36.4%,17
2023 US Open R64,L vs Alcaraz,26.1%,38.0%,45.2%,34.0%,30.2%,47.6%,54.5%,41.7%,50.0%,57.6%,100.0%,21.7%,21.7%,22.2%,72
2022 Miami R16,L vs Hurkacz,29.7%,43.8%,35.6%,35.9%,34.2%,55.3%,44.0%,44.7%,71.4%,58.3%,100.0%,23.1%,26.9%,25.0%,-79
2022 Indian Wells R16,L vs Berrettini,34.4%,48.4%,45.2%,40.9%,48.7%,64.1%,60.0%,59.5%,33.3%,66.7%,-,12.0%,24.0%,31.8%,-79
2021 Dubai F,L vs Karatsev,35.4%,43.8%,36.7%,38.5%,43.2%,51.4%,47.6%,47.3%,50.0%,52.6%,50.0%,10.0%,20.0%,11.1%,-18
2020 Adelaide F,L vs Rublev,30.2%,34.9%,24.1%,31.4%,42.9%,46.4%,12.5%,44.6%,60.0%,53.8%,50.0%,7.1%,14.3%,38.5%,-45
2020 Adelaide SF,W vs Paul,37.1%,51.7%,54.7%,47.2%,48.1%,70.4%,71.4%,64.8%,62.5%,63.3%,0.0%,21.9%,25.0%,36.0%,51
2020 ATP Cup RR,L vs Simon,21.4%,27.6%,38.7%,25.8%,27.3%,34.8%,37.5%,33.8%,64.7%,50.0%,72.7%,10.0%,13.3%,40.7%,-15
2019 Chengdu SF,L vs Bublik,31.3%,37.5%,56.8%,35.8%,45.0%,47.5%,72.7%,52.3%,47.1%,39.1%,60.0%,8.3%,20.8%,40.9%,-79
2019 Miami R64,L vs Haase,27.6%,34.5%,44.8%,32.6%,38.8%,46.9%,46.7%,47.8%,55.0%,48.3%,50.0%,15.2%,21.2%,42.9%,27
2019 Delray Beach R16,L vs Evans,18.6%,27.1%,27.9%,22.0%,25.8%,38.7%,30.4%,32.3%,50.0%,60.0%,100.0%,13.0%,17.4%,25.0%,0
2019 New York R32,L vs Querrey,36.5%,43.2%,39.1%,40.7%,42.0%,52.0%,44.8%,48.2%,58.3%,46.2%,100.0%,26.1%,26.1%,29.4%,-16
2019 Launceston CH F,W vs Giustino,34.0%,50.9%,57.1%,44.0%,36.4%,57.6%,61.9%,52.4%,68.8%,64.7%,66.7%,30.0%,40.0%,50.0%,-79
2017 Kyoto CH QF,W vs Sugita,57.4%,63.2%,58.6%,58.8%,76.1%,80.4%,54.5%,78.3%,59.1%,45.8%,0.0%,18.2%,27.3%,61.1%,-79
Career (14 matches),,33.4%,43.5%,44.3%,39.0%,43.9%,56.6%,50.9%,52.6%,55.6%,53.3%,71.4%,16.6%,22.8%,36.0%,39
