Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 US Open R64,L vs Alcaraz,0.90,0.69,33.7,2.3,8.0%,58.0%,4.8%,54.8%,32.1%,35.4%
2023 US Open R128,W vs Pella,1.24,1.50,33.1,2.2,25.5%,72.5%,30.2%,81.4%,31.4%,24.4%
2023 Wimbledon R128,L vs Barrere,0.98,0.82,46.6,3.1,10.8%,62.7%,14.1%,59.0%,29.6%,36.5%
2022 Miami R16,L vs Hurkacz,1.07,0.67,55.5,2.5,6.1%,63.6%,12.9%,45.2%,34.4%,21.4%
2022 Indian Wells R32,L vs Berrettini,0.82,0.63,43.1,2.3,12.1%,72.7%,6.5%,54.8%,24.2%,31.0%
2021 US Open QF,L vs Zverev,0.87,0.67,34.7,2.9,14.3%,65.3%,14.0%,58.1%,32.0%,26.7%
2021 US Open R16,W vs Opelka,0.81,1.60,41.3,3.7,30.8%,78.8%,41.7%,79.2%,46.5%,35.8%
2021 US Open R32,W vs Shapovalov,1.07,1.47,36.4,2.3,13.0%,69.6%,9.3%,67.4%,42.9%,43.2%
2021 US Open R64,W vs Escobedo,1.19,1.73,29.2,2.3,26.7%,73.3%,22.5%,67.5%,44.7%,40.9%
2021 US Open R128,W vs Khachanov,1.23,1.23,44.1,4.1,13.6%,63.6%,19.6%,67.9%,36.5%,32.3%
2021 Wimbledon R64,L vs Rublev,0.80,0.44,22.7,2.1,17.9%,59.0%,27.3%,51.5%,25.6%,23.5%
2021 Wimbledon R128,W vs Berankis,1.14,1.44,36.6,2.0,19.0%,74.1%,23.6%,63.6%,43.1%,34.9%
2021 Roland Garros R64,L vs Norrie,0.88,0.58,28.9,3.5,9.4%,67.9%,8.9%,55.6%,25.5%,23.8%
2021 Roland Garros R128,W vs Sonego,1.16,1.61,31.6,2.3,2.1%,70.2%,11.6%,76.7%,35.3%,39.1%
2021 Dubai F,L vs Karatsev,0.75,0.53,38.4,2.0,16.0%,52.0%,21.7%,65.2%,34.5%,24.1%
2021 Australian Open R32,L vs Mcdonald,1.04,0.67,40.7,2.5,7.3%,52.7%,9.3%,59.3%,23.9%,33.3%
2021 Australian Open R64,W vs Popyrin,1.06,1.39,49.4,2.2,18.8%,73.9%,20.7%,74.1%,28.4%,40.3%
2021 Australian Open R128,W vs Torpegaard,0.98,1.69,32.5,4.1,18.0%,76.0%,26.7%,77.8%,42.6%,36.7%
2020 Roland Garros R64,L vs Berrettini,0.96,0.75,40.4,2.8,3.3%,65.0%,1.8%,54.5%,36.1%,25.5%
2020 Roland Garros R128,W vs Popyrin,1.24,1.75,31.3,2.1,13.7%,82.4%,22.7%,70.5%,34.0%,31.3%
2023 (3 matches),,1.02,0.91,39.4,2.5,14.1%,64.1%,16.0%,63.8%,30.9%,33.1%
2022 (2 matches),,0.95,0.65,49.3,2.4,9.1%,68.2%,9.7%,50.0%,29.2%,26.3%
2021 (13 matches),,1.02,1.11,36.8,2.6,15.9%,68.2%,19.6%,66.9%,36.0%,34.2%
2020 (8 matches),,0.98,0.93,39.1,2.6,10.4%,61.1%,11.8%,63.3%,36.6%,35.4%
2019 (35 matches),,1.03,1.05,48.4,2.5,8.2%,64.4%,8.5%,61.7%,37.3%,37.8%
Career (101 matches),,1.01,0.98,48.5,2.6,10.5%,64.0%,12.1%,62.5%,35.6%,35.6%
