Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Marseille $100K R32,L vs Wongteanchai,0.93,0.78,51.3,3.0,0.0%,50.0%,2.8%,47.2%,43.9%,42.1%
2017 Cagnes Sur Mer $100K R32,L vs Lim,0.86,0.85,73.1,3.5,2.0%,44.0%,0.0%,45.5%,51.9%,57.4%
2017 Grenoble $25K QF,L vs Blinkova,1.02,0.61,43.1,2.0,0.0%,32.1%,0.0%,51.9%,36.0%,33.3%
2017 Grenoble $25K R16,W vs Arcangioli,1.15,1.42,49.9,3.5,5.0%,62.5%,5.1%,56.4%,45.8%,54.5%
2016 Biarritz $100K R32,L vs Witthoeft,0.91,0.63,41.0,3.1,0.0%,42.3%,4.2%,45.8%,46.7%,31.0%
2016 US Open R128,L vs Pironkova,0.88,0.47,28.2,2.6,0.0%,48.4%,3.3%,33.3%,33.3%,29.4%
2016 Contrexeville $100K R32,L vs Seguel,0.91,0.59,42.0,2.5,0.0%,52.0%,4.5%,45.5%,27.6%,39.3%
2016 Montpellier $25K R32,W vs Liebens,1.16,1.81,38.9,2.1,11.1%,59.3%,0.0%,59.3%,52.2%,76.2%
2016 Roland Garros R64,L vs Kasatkina,1.02,0.80,54.4,4.1,6.7%,42.2%,6.8%,54.5%,50.0%,30.3%
2016 Roland Garros R128,W vs Soylu,0.99,1.32,48.1,4.0,2.4%,56.1%,2.7%,62.2%,50.0%,60.0%
2016 Strasbourg SF,L vs Garcia,0.99,0.86,82.4,13.0,1.6%,52.5%,0.0%,58.5%,40.0%,38.0%
2016 Strasbourg QF,W vs Vesnina,1.08,1.30,48.2,2.0,0.0%,51.2%,0.0%,47.5%,57.1%,65.8%
2016 Strasbourg R32,W vs Shvedova,1.06,1.51,49.5,3.1,6.7%,66.7%,0.0%,63.0%,58.1%,41.4%
2016 Cagnes Sur Mer $100K R32,W vs Korpatsch,1.25,2.17,32.2,2.0,3.3%,53.3%,3.6%,67.9%,73.7%,62.5%
2016 Prague R16,L vs Giorgi,0.97,0.67,55.3,2.0,0.0%,71.4%,0.0%,32.4%,27.3%,38.7%
2016 Prague R32,W vs King,0.96,1.21,58.2,2.2,4.3%,58.7%,0.0%,52.4%,44.4%,67.4%
2016 Grenoble $25K R32,L vs Arcangioli,1.01,0.83,63.2,3.3,0.0%,45.0%,0.0%,45.0%,43.4%,46.9%
2016 Andrezieux Boutheon $50K R16,L vs Hesse,0.85,0.71,49.4,2.5,0.0%,60.7%,0.0%,60.0%,36.4%,29.0%
2015 Biarritz $100K R32,L vs Zanevska,0.89,0.64,47.7,2.0,3.8%,30.8%,3.8%,34.6%,57.1%,40.0%
2015 Roland Garros R128,W vs Cepede Royg,1.26,1.26,53.6,4.9,-,51.2%,-,56.4%,34.8%,60.0%
2017 (4 matches),,0.97,0.89,56.8,2.9,1.9%,48.1%,2.1%,50.0%,45.8%,48.1%
2016 (14 matches),,1.00,0.98,52.6,2.7,2.6%,54.0%,1.7%,52.0%,45.1%,46.9%
2015 (3 matches),,1.16,1.06,52.0,3.3,0.9%,46.3%,1.0%,51.0%,41.7%,53.4%
2014 (15 matches),,0.96,0.92,68.1,3.2,1.3%,49.5%,2.3%,60.5%,41.2%,45.7%
2013 (28 matches),,1.03,1.08,60.9,2.9,1.9%,55.9%,2.7%,57.2%,44.9%,46.2%
Career (90 matches),,1.01,0.99,59.4,2.9,1.4%,53.1%,1.9%,56.3%,43.0%,46.0%
