Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,132,91,41,68.9%,185-98,65.4%,1414-1018,58.1%,0-0,-,0,,,,,,,,,,,
Clay,305,244,61,80.0%,498-158,75.9%,3575-2030,63.8%,0-0,-,0,,,,,,,,,,,
Grass,316,224,92,70.9%,473-224,67.9%,3626-2588,58.4%,0-0,-,0,,,,,,,,,,,
Carpet,21,16,5,76.2%,32-8,80.0%,218-82,72.7%,0-0,-,0,,,,,,,,,,,
Grand Slams,117,81,36,69.2%,174-85,67.2%,1330-1002,57.0%,0-0,-,0,,,,,,,,,,,
Finals,136,89,47,65.4%,190-120,61.3%,1579-1264,55.5%,0-0,-,0,,,,,,,,,,,
Semi-finals,172,115,57,66.9%,236-139,62.9%,1863-1431,56.6%,0-0,-,0,,,,,,,,,,,
Quarter-finals,189,142,47,75.1%,292-112,72.3%,2099-1369,60.5%,0-0,-,0,,,,,,,,,,,
vs Righties,323,174,149,53.9%,380-347,52.3%,3349-3224,51.0%,0-0,-,0,,,,,,,,,,,
vs Lefties,29,26,3,89.7%,53-10,84.1%,376-230,62.0%,0-0,-,0,,,,,,,,,,,
