Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1965,,,39,1695,19,1599,44,1630,30,1653,,,,
1962,,,29,1725,,,20,1719,19,1699,,,,
1960,,,11,1869,8,1687,11,1809,10,1772,,,,
1959,,,12,1893,7,1718,9,1818,11,1788,,,,
1958,,,3,2012,3,1801,4,1947,3,1888,,,,
1957,,,3,2019,4,1800,3,1935,3,1896,,,,
1956,,,10,1894,,,4,1861,12,1766,,,,
1955,,,6,1936,,,4,1892,8,1774,,,,
1953,,,5,2000,,,4,1948,7,1822,,,,
1952,,,7,1926,6,1757,4,1887,8,1757,,,,
1951,,,14,1891,5,1732,11,1816,14,1730,,,,
1950,,,16,1855,,,9,1817,18,1748,,,,
1949,,,10,1873,7,1746,8,1789,17,1738,,,,
1948,,,13,1835,6,1727,10,1761,16,1721,,,,
1947,,,9,1890,7,1732,14,1739,9,1791,,,,
1946,,,13,1808,8,1658,14,1667,15,1713,,,,
1945,,,11,1761,9,1626,10,1564,11,1661,,,,
1944,,,10,1728,8,1616,,,10,1656,,,,
1943,,,8,1626,6,1545,,,8,1586,,,,
1942,,,22,1489,11,1441,,,,,,,,
1941,,,28,1565,10,1508,,,,,,,,
1940,,,42,1509,17,1439,,,40,1392,,,,
