Date,Tournament,Surface,Rd,,Score
14-Jul-1969,Le Touquet 1,Clay,F,Knode / Ana Maria Arias [CHI] d. Josette Billaz / Janine Lieffrig [FRA],6-1 1-6 6-3
02-Jun-1969,Havant,Grass,F,Knode / Ana Maria Arias [CHI] d. P Hargrave / Pepy Munslow [GBR],6-2 6-2
12-Oct-1965,Tel Aviv,,F,Knode / Carol Ann Kalogeropoulos [GRE] d. Mara Cohen Mintz / Esther Rosengarten [ISR],6-1 6-1
07-Dec-1961,La Jolla Nationals,Hard,F,Knode / Mary Arnold [USA] d. Dodo Cheney / Maggie Taylor [USA],6-4 6-2
13-Nov-1961,Coral Beach 2,,F,Knode / Carmen Lampe [USA] d. Liz Coleman / Barbara Scofield [USA],6-2 6-2
06-Nov-1961,Coral Beach 1,,F,Knode / Barbara Scofield [USA] d. Margie Botur [USA] / Jean French [GBR],6-0 6-1
13-Jul-1960,Dusseldorf,Clay,F,Knode / Edda Buding [FRG] d. Margaret Hellyer [AUS] / Yola Ramirez [MEX],6-2 8-6
04-Jul-1960,Dublin,Grass,F,Knode / Laura Lou Jahn [USA] d. Robin Lloyd / Deidre Catt [GBR],7-5 4-6 6-1
10-Jun-1960,Wightman Cup,Grass,RR,Shirley Bloomer / Christine Truman [GBR] d. Knode / Janet Hopps [USA],6-4 9-7
30-May-1960,Manchester,Grass,F,Karen Susman / Janet Hopps [USA] d. Knode / Darlene Hard [USA],6-4 6-4
28-Sep-1959,Berkeley,Hard,F,Farel Footman / Janet Hopps [USA] d. Knode / Ann Jones [GBR],6-4 6-4
05-Aug-1959,Quebec City,,F,Knode / Marie Toomey [AUS] d. Marta Hernandez [MEX] / Marilyn Montgomery [USA],6-1 6-1
27-Jul-1959,Denver,,F,Renee Schuurman / Sandra Reynolds [RSA] d. Knode / Karol Fageros [USA],4-6 7-5 7-5
06-Jul-1959,Milwaukee,Clay,F,Knode / Lucille Davidson [USA] d. Marie Toomey [AUS] / Karol Fageros [USA],10-8 6-4
16-Mar-1959,Kingston,Grass,F,Knode / Gwyn Thomas [USA] d. Betty Pratt [USA] / Christine Truman [GBR],7-5 6-2
04-Aug-1958,South Orange,Grass,F,Althea Gibson / Sally Moore [USA] d. Knode / Karol Fageros [USA],6-2 6-1
14-Jul-1958,River Forest,Clay,F,Knode / Karol Fageros [USA] d. Marta Hernandez [MEX] / Marilyn Montgomery [USA],2-6 6-5 RET
07-Jul-1958,Dublin,Grass,F,Knode / Sally Moore [USA] d. Shirley Bloomer [GBR] / Heather Bretland [IRL],6-2 6-2
13-Jun-1958,Wightman Cup,Grass,RR,Shirley Bloomer / Christine Truman [GBR] d. Knode / Karol Fageros [USA],6-2 6-3
07-Mar-1958,Cairo,Clay,F,Knode / Xenia Vassiliadis [GRE] d. Andree Eid [EGY] / Colette Holvoet [BEL],6-2 6-3
