Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Jun-1969,Havant,Grass,F,,,Sue Tutt [GBR] d. Knode,8-6 7-5,,,,,,,,
24-Feb-1966,Tokyo Indoors,Carpet,F,,,Knode d. Sumi Gokan [JPN],6-1 6-2,,,,,,,,
12-Oct-1965,Tel Aviv,,F,,,Knode d. Carol Sherriff [AUS],3-6 6-2 6-3,,,,,,,,
20-Sep-1965,Paris Coupe Poree,Clay,F,,,Fay Toyne [AUS] d. Knode,6-3 6-2,,,,,,,,
13-Sep-1965,Versailles,Clay,F,,,Michelle Rodriguez [CHI] d. Knode,6-4 6-2,,,,,,,,
03-Feb-1964,Manila,,F,,,Reiko Miyagi [JPN] d. Knode,6-3 6-1,,,,,,,,
09-Jul-1963,Le Touquet 2,Clay,F,,,Knode d. Anne Marie Larue [FRA],9-7 6-2,,,,,,,,
11-Feb-1963,Manila,,F,,,Knode d. Rita Bentley [GBR],6-4 5-7 6-2,,,,,,,,
08-Sep-1962,Paris Coupe Poree,Clay,F,,,Francoise Durr [FRA] d. Knode,6-4 0-6 6-0,,,,,,,,
25-Jun-1962,Tokyo,,F,,,Knode d. Reiko Miyagi [JPN],6-3 6-0,,,,,,,,
12-Feb-1962,Manila,,F,,,Knode d. Desideria Ampon [PHI],6-2 6-1,,,,,,,,
07-Dec-1961,La Jolla Nationals,Hard,F,,,(1) Nancy Richey [USA] d. (4) Knode,6-1 6-1,,,,,,,,
13-Nov-1961,Coral Beach 2,,F,,,Knode d. Barbara Scofield [USA],6-1 7-5,,,,,,,,
06-Nov-1961,Coral Beach 1,,F,,,Knode d. Barbara Scofield [USA],6-0 6-3,,,,,,,,
18-Jul-1960,River Forest,Clay,F,,,(2) Knode d. Gwyn Thomas [USA],6-3 6-3,,,,,,,,
04-Jul-1960,Dublin,Grass,F,,,Knode d. Ruia Morrison [NZL],6-2 6-4,,,,,,,,
28-Sep-1959,Berkeley,Hard,F,,,Knode d. Ann Jones [GBR],7-5 6-4,,,,,,,,
10-Aug-1959,Montreal,,F,,,Knode d. Marie Toomey [AUS],3-6 7-5 6-2,,,,,,,,
21-May-1957,Roland Garros,Clay,F,,,(1) Shirley Bloomer [GBR] d. (2) Knode,6-1 6-3,,,,,,,,
23-May-1955,Roland Garros,Clay,F,,,Angela Mortimer [GBR] d. Knode,2-6 7-5 10-8,,,,,,,,
