Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,34,19,15,55.9%,45-31,59.2%,384-315,54.9%,3-6,33.3%,29,73.0%,37.5%,7.6%,6.1%,56.4%,70.9%,46.4%,60.2%,45.0%,52.3%,1.13
Clay,11,6,5,54.5%,15-11,57.7%,123-117,51.2%,2-0,100.0%,11,70.1%,32.2%,5.4%,6.6%,53.4%,69.4%,46.2%,58.6%,42.8%,50.4%,1.03
Grass,10,8,2,80.0%,16-6,72.7%,126-85,59.7%,3-2,60.0%,10,78.6%,40.8%,6.1%,4.8%,59.4%,69.2%,52.5%,62.4%,46.1%,54.2%,1.23
Grand Slams,12,8,4,66.7%,18-9,66.7%,145-100,59.2%,1-2,33.3%,12,80.8%,39.3%,7.0%,4.6%,57.0%,74.3%,48.8%,63.3%,45.9%,54.3%,1.25
Premiers,10,5,5,50.0%,13-10,56.5%,120-110,52.2%,2-2,50.0%,10,70.0%,35.3%,6.2%,7.2%,56.7%,67.0%,45.7%,57.8%,44.1%,50.6%,1.04
Internationals,11,9,2,81.8%,19-7,73.1%,142-103,58.0%,3-1,75.0%,7,77.9%,38.2%,6.2%,5.6%,59.5%,66.9%,54.5%,61.9%,44.9%,53.5%,1.18
Finals,1,1,0,100.0%,2-0,100.0%,13-9,59.1%,1-0,100.0%,1,81.8%,30.0%,4.9%,0.0%,71.6%,65.5%,56.5%,63.0%,43.3%,54.6%,1.17
Semi-finals,2,1,1,50.0%,3-3,50.0%,30-33,47.6%,1-1,50.0%,1,66.7%,26.7%,5.8%,8.3%,60.8%,58.9%,57.4%,58.3%,39.8%,49.8%,0.96
Quarter-finals,4,2,2,50.0%,5-5,50.0%,53-46,53.5%,0-2,0.0%,3,75.0%,32.4%,8.8%,4.6%,60.4%,67.9%,46.5%,59.4%,41.8%,50.3%,1.03
vs Righties,49,30,19,61.2%,69-42,62.2%,568-462,55.1%,7-6,53.8%,44,73.1%,37.3%,6.5%,6.0%,55.6%,70.1%,47.5%,60.1%,44.9%,52.4%,1.13
vs Lefties,4,2,2,50.0%,5-4,55.6%,48-42,53.3%,1-2,33.3%,4,78.6%,31.1%,9.7%,5.4%,62.5%,71.1%,46.2%,61.7%,42.5%,51.3%,1.11
vs Top 10,9,1,8,11.1%,6-16,27.3%,89-118,43.0%,0-3,0.0%,9,61.8%,25.5%,5.5%,5.2%,56.0%,64.1%,42.4%,54.5%,38.7%,46.7%,0.85
