Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,338,206,132,60.9%,454-313,59.2%,3815-3195,54.4%,34-37,47.9%,330,69.2%,40.2%,5.7%,7.0%,58.5%,67.7%,45.1%,58.3%,45.7%,51.9%,1.10
Clay,112,72,40,64.3%,161-100,61.7%,1332-1123,54.3%,14-11,56.0%,112,65.9%,43.3%,3.5%,6.4%,60.1%,64.2%,45.7%,56.8%,47.0%,51.7%,1.09
Grass,62,33,29,53.2%,78-63,55.3%,701-603,53.8%,9-12,42.9%,62,70.3%,37.7%,5.2%,6.3%,59.5%,66.9%,47.2%,58.9%,44.2%,51.4%,1.08
Grand Slams,113,77,36,68.1%,166-90,64.8%,1330-1056,55.7%,18-14,56.3%,113,72.1%,41.5%,5.1%,6.0%,60.0%,67.1%,47.4%,59.2%,46.0%,52.5%,1.13
Premiers,145,76,69,52.4%,174-157,52.6%,1593-1463,52.1%,15-17,46.9%,145,66.1%,38.1%,5.1%,7.5%,57.9%,66.7%,43.3%,56.9%,45.0%,50.8%,1.04
Internationals,158,110,48,69.6%,236-125,65.4%,1879-1416,57.0%,14-16,46.7%,153,69.9%,44.0%,4.9%,6.3%,59.9%,66.9%,46.9%,58.9%,47.1%,52.8%,1.15
Finals,16,10,6,62.5%,22-14,61.1%,179-149,54.6%,2-1,66.7%,16,67.3%,41.7%,3.9%,4.4%,63.4%,63.7%,45.1%,56.9%,45.7%,51.4%,1.06
Semi-finals,26,15,11,57.7%,33-28,54.1%,293-270,52.0%,2-4,33.3%,25,70.9%,34.3%,4.9%,6.4%,61.2%,65.3%,48.5%,58.8%,43.1%,50.8%,1.04
Quarter-finals,49,25,24,51.0%,57-55,50.9%,530-525,50.2%,5-5,50.0%,48,63.1%,36.3%,4.1%,7.1%,59.8%,64.9%,42.6%,55.9%,43.9%,49.8%,1.00
vs Righties,465,277,188,59.6%,621-442,58.4%,5279-4503,54.0%,50-53,48.5%,457,68.2%,40.3%,5.1%,6.7%,58.9%,66.5%,45.4%,57.9%,45.6%,51.6%,1.08
vs Lefties,39,28,11,71.8%,59-28,67.8%,471-345,57.7%,5-6,45.5%,39,72.8%,43.1%,5.7%,6.7%,59.8%,69.6%,45.8%,60.0%,47.4%,53.5%,1.19
vs Top 10,59,12,47,20.3%,35-96,26.7%,500-703,41.6%,4-8,33.3%,59,57.4%,25.8%,3.8%,6.7%,59.4%,60.6%,41.6%,52.9%,39.5%,46.3%,0.84
