Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R16,L vs Rybakina,18.3%,26.7%,44.2%,25.0%,42.9%,57.1%,53.8%,26.7%,0.0%,15.4%,15.4%,31.8%,38.5%,38.5%,50.0%,25
2025 Osaka R16,L vs Valentova,17.8%,28.9%,45.5%,15.6%,31.3%,48.1%,75.0%,18.8%,0.0%,33.3%,33.3%,33.3%,0.0%,0.0%,0.0%,147
2025 s Hertogenbosch F,W vs Ruse,32.1%,39.5%,45.5%,32.8%,41.4%,48.7%,28.6%,10.0%,25.0%,30.4%,34.8%,37.5%,25.0%,6.7%,0.0%,-104
2025 s Hertogenbosch SF,W vs Alexandrova,26.7%,30.0%,48.7%,37.0%,41.1%,34.8%,32.3%,28.6%,9.1%,13.5%,16.2%,68.8%,15.0%,29.4%,20.0%,4
2025 s Hertogenbosch R32,W vs Tomova,25.0%,40.9%,53.1%,30.0%,46.7%,57.1%,56.3%,42.9%,100.0%,14.3%,28.6%,50.0%,66.7%,27.3%,0.0%,-23
2025 Miami R32,L vs Swiatek,27.1%,32.9%,34.7%,35.9%,46.2%,44.0%,52.9%,40.9%,50.0%,17.2%,17.2%,25.0%,26.7%,35.7%,-,-26
2025 Doha R16,L vs Alexandrova,29.4%,35.3%,37.1%,32.3%,38.7%,38.1%,46.2%,50.0%,50.0%,26.3%,31.6%,35.7%,45.5%,62.5%,100.0%,-43
2025 Singapore F,W vs Li,38.5%,46.2%,51.6%,46.2%,53.8%,52.4%,61.1%,42.9%,25.0%,16.7%,25.0%,50.0%,25.0%,50.0%,-,-11
2025 Hobart F,L vs Kessler,21.2%,30.8%,38.8%,28.2%,40.8%,43.1%,59.4%,33.3%,20.0%,6.5%,9.7%,31.0%,40.0%,68.8%,100.0%,-49
2025 Hobart SF,W vs Joint,32.1%,41.1%,58.1%,41.7%,47.2%,61.9%,50.0%,27.8%,25.0%,23.1%,46.2%,50.0%,33.3%,50.0%,-,54
2024 US Open R16,L vs Sabalenka,23.9%,34.3%,44.4%,29.0%,51.6%,68.2%,30.0%,42.9%,66.7%,23.3%,23.3%,21.7%,14.3%,75.0%,100.0%,68
2024 Wimbledon R64,L vs Raducanu,14.9%,25.5%,43.6%,17.9%,28.6%,39.1%,50.0%,43.8%,0.0%,11.1%,22.2%,50.0%,20.0%,25.0%,33.3%,-40
2024 Roland Garros R32,L vs Rybakina,13.3%,15.6%,44.4%,10.7%,14.3%,40.0%,73.3%,46.2%,0.0%,21.4%,21.4%,54.5%,16.7%,62.5%,100.0%,84
2024 Stuttgart R16,L vs Swiatek,18.4%,30.6%,39.5%,16.0%,32.0%,47.6%,76.9%,25.0%,0.0%,22.7%,31.8%,29.4%,20.0%,91.7%,100.0%,-3
2024 Charleston R16,W vs Svitolina,20.6%,27.0%,58.7%,25.0%,35.0%,63.3%,45.0%,20.0%,66.7%,15.8%,15.8%,50.0%,28.6%,16.7%,33.3%,31
2024 Australian Open R64,L vs Kostyuk,17.1%,21.9%,53.1%,23.9%,31.3%,58.8%,42.9%,34.4%,33.3%,6.3%,6.3%,43.3%,0.0%,8.0%,0.0%,-58
2024 Hobart F,L vs Navarro,14.0%,24.6%,42.4%,16.9%,29.2%,42.6%,54.5%,56.3%,33.3%,11.6%,20.9%,42.1%,25.0%,34.8%,75.0%,-1
2023 Monastir F,W vs Paolini,14.0%,32.6%,64.7%,14.3%,39.3%,70.8%,46.2%,40.0%,33.3%,16.7%,25.0%,50.0%,20.0%,28.6%,100.0%,35
2023 Guadalajara R32,L vs Fernandez,23.8%,33.3%,42.5%,41.7%,52.8%,47.6%,64.7%,36.8%,42.9%,0.0%,10.5%,36.8%,33.3%,0.0%,-,-119
2023 Roland Garros R16,L vs Pavlyuchenkova,26.0%,29.3%,41.3%,33.3%,36.1%,37.5%,51.4%,34.3%,55.6%,22.9%,28.6%,48.1%,30.8%,54.5%,50.0%,62
Last 52 Weeks (5 matches),,25.1%,32.9%,47.3%,30.3%,40.7%,46.8%,44.2%,23.9%,14.3%,19.3%,22.9%,48.9%,26.1%,22.2%,21.4%,67
Career (101 matches),,22.2%,29.2%,47.5%,27.7%,36.7%,50.7%,47.3%,37.8%,30.4%,16.2%,21.0%,42.5%,26.7%,42.2%,42.8%,38
