Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2020,,,,,,,,,,,9,5140,,
2019,,,,,,,,,,,6,5090,6,1889
2018,,,,,,,,,,,9,5270,11,1877
2017,,,,,,,,,,,2,9220,6,1928
2016,908,15,,,,,,,,,24,3140,29,1769
2015,471,83,,,,,,,,,29,2475,18,1846
2014,170,302,131,1625,153,1543,109,1607,89,1583,18,3680,37,1748
2013,72,686,139,1623,145,1556,108,1610,87,1598,37,1868,44,1714
2012,74,675,77,1728,80,1662,70,1697,74,1625,39,1855,37,1723
2011,57,828,64,1754,80,1670,58,1722,54,1658,53,1365,69,1616
2010,70,695,119,1648,108,1602,100,1615,163,1462,10,4140,29,1742
2009,101,528,115,1663,118,1595,101,1641,177,1453,12,3880,16,1803
2008,209,198,252,1466,245,1418,207,1480,205,1394,72,944,,
2007,222,185,179,1550,154,1519,169,1511,182,1425,45,1159,48,1634
2006,125,363,136,1613,110,1592,145,1550,122,1480,64,760,,
2005,142,294,166,1564,143,1542,167,1515,,,135,393,,
2004,219,185,205,1516,209,1451,191,1481,,,137,374,,
2003,371,81,271,1339,253,1336,260,1257,,,217,220,,
2002,440,51,,,,,,,,,533,60,,
2001,427,62,,,,,,,,,448,81,,
2000,574,29,,,,,,,,,796,25,,
