Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Tiburon CH F,W vs Zink,75% (9/12),38% (3/8),2/6,1/5,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2023 Palmas Del Mar CH F,L vs Nishikori,57% (4/7),38% (3/8),0/0,0/0,63% (10/16),1/3,1/2,- (0/0),- (0/0)
2025 (1 matches),,75.0%,37.5%,33.3%,20.0%,0.0%,-,-,-,-
2023 (1 matches),,57.1%,37.5%,-,-,62.5%,33.3%,50.0%,-,-
Career (2 matches),,68.4%,37.5%,33.3%,20.0%,58.8%,33.3%,50.0%,-,-
