Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),145,414,86,1727,80,1687,,,120,1544,,,,
2025,188,315,90,1730,77,1701,,,123,1545,,,,
2024,759,32,,,,,,,,,1140,25,,
2023,533,72,,,,,,,,,,,,
2022,929,13,,,,,,,,,,,,
2021,1981,1,,,,,,,,,,,,
