Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,153,335,72,1747,64,1720,79,1687,67,1632,58,1315,29,1762
2012,127,450,51,1792,45,1759,63,1722,64,1654,148,465,,
2011,59,819,42,1844,37,1800,46,1776,46,1686,,,,
2010,135,405,52,1808,42,1764,,,46,1678,216,315,75,1616
2009,44,935,31,1877,27,1844,39,1785,29,1750,57,1190,36,1728
2008,10,1775,17,1935,14,1911,29,1812,28,1766,158,360,79,1617
2007,13,1710,12,1963,7,1939,26,1828,18,1782,195,300,55,1632
2006,4,2530,7,2008,6,1979,19,1857,16,1791,106,480,50,1646
2005,23,1230,14,1939,9,1907,20,1841,39,1709,112,485,56,1645
2004,97,440,62,1787,40,1765,64,1717,60,1631,81,710,21,1775
2003,37,975,27,1872,22,1847,43,1779,46,1675,51,925,31,1702
2002,28,1170,26,1894,19,1866,37,1799,36,1710,45,1192,32,1707
2001,73,534,59,1806,48,1771,84,1694,58,1650,145,444,,
2000,212,182,159,1616,129,1590,179,1525,126,1521,161,371,,
1999,219,186,252,1501,227,1472,,,140,1491,304,170,,
1998,682,22,,,,,,,,,1276,3,,
