Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),96,640,136,1653,127,1617,161,1557,168,1489,,,,
2025,118,533,91,1725,76,1701,139,1593,137,1525,,,,
2024,211,269,270,1484,229,1478,265,1426,209,1428,1039,30,,
2023,191,316,148,1613,136,1574,155,1545,,,,,,
2022,521,66,,,,,,,,,,,,
2021,533,61,,,,,,,,,,,,
2020,674,32,,,,,,,,,879,33,,
2019,866,14,,,,,,,,,767,39,,
2018,452,18,,,,,,,,,591,17,,
2017,705,29,,,,,,,,,1197,16,,
2016,1135,7,,,,,,,,,1154,18,,
2015,1896,1,,,,,,,,,,,,
