Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,87,34,53,39.1%,88-123,41.7%,950-1053,47.4%,13-10,56.5%,87,65.8%,28.6%,3.7%,5.2%,68.0%,62.8%,44.4%,56.9%,40.9%,49.1%,0.95
Clay,25,11,14,44.0%,26-34,43.3%,267-305,46.7%,3-3,50.0%,25,64.7%,28.8%,2.6%,4.5%,67.5%,60.6%,47.5%,56.4%,40.8%,48.6%,0.93
Grass,12,4,8,33.3%,9-17,34.6%,102-136,42.9%,2-2,50.0%,12,64.8%,20.9%,3.7%,4.2%,66.1%,59.5%,51.3%,56.7%,36.3%,47.0%,0.84
Grand Slams,22,6,16,27.3%,15-34,30.6%,195-260,42.9%,1-2,33.3%,22,62.2%,23.2%,2.9%,4.2%,66.6%,60.1%,45.4%,55.2%,38.2%,46.9%,0.85
Premiers,38,16,22,42.1%,39-53,42.4%,421-469,47.3%,7-4,63.6%,38,65.4%,28.9%,3.8%,6.0%,65.2%,63.4%,44.2%,56.7%,41.2%,49.0%,0.95
Internationals,38,17,21,44.7%,42-50,45.7%,416-444,48.4%,5-3,62.5%,38,67.1%,29.5%,3.3%,4.8%,69.0%,62.8%,46.6%,57.8%,40.7%,49.4%,0.96
Finals,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-0,-,2,52.6%,11.1%,3.0%,4.5%,70.5%,54.8%,41.0%,50.8%,35.3%,43.5%,0.72
Semi-finals,3,2,1,66.7%,4-3,57.1%,35-35,50.0%,1-0,100.0%,3,65.7%,32.4%,2.0%,6.7%,78.3%,62.8%,36.4%,57.1%,43.3%,50.7%,1.01
Quarter-finals,7,3,4,42.9%,7-10,41.2%,73-87,45.6%,3-0,100.0%,7,64.2%,23.7%,2.6%,5.5%,67.0%,64.7%,42.8%,57.4%,39.2%,48.6%,0.92
vs Righties,111,42,69,37.8%,108-160,40.3%,1188-1356,46.7%,15-13,53.6%,111,65.3%,27.9%,3.5%,4.9%,67.5%,62.1%,45.7%,56.7%,40.5%,48.7%,0.94
vs Lefties,13,7,6,53.8%,15-14,51.7%,131-138,48.7%,3-2,60.0%,13,67.7%,29.0%,3.7%,5.3%,70.0%,62.7%,44.9%,57.3%,41.1%,49.3%,0.96
vs Top 10,9,0,9,0.0%,2-18,10.0%,75-120,38.5%,0-3,0.0%,9,57.3%,20.8%,1.4%,4.8%,65.1%,56.8%,46.6%,53.2%,37.3%,45.4%,0.80
