Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Beijing R128,L vs Cirstea,0.0%,-,7.3%,14.3%,22.9%,30.0%,0.0%,3.4%,10.0%,0.0%,-,27,23
2025 Indian Wells R32,L vs Kostyuk,1.3%,100.0%,10.0%,40.0%,15.1%,36.0%,14.3%,0.0%,0.0%,0.9%,100.0%,47,76
2025 Indian Wells R64,W vs Lys,0.0%,-,2.6%,50.0%,18.0%,33.3%,50.0%,5.1%,20.0%,0.0%,-,76,111
2025 Indian Wells R128,W vs Rakhimova,0.0%,-,12.7%,44.4%,7.8%,14.3%,0.0%,12.8%,60.0%,0.0%,-,-43,12
2024 Guangzhou F,L vs Danilovic,0.0%,-,9.0%,30.0%,17.5%,10.0%,0.0%,8.3%,100.0%,0.0%,-,57,23
2024 US Open R128,W vs Collins,0.0%,-,2.4%,60.0%,19.1%,44.4%,0.0%,5.6%,33.3%,0.4%,0.0%,-117,-57
2024 Charleston R64,W vs Day,0.0%,-,13.6%,52.4%,10.1%,17.8%,11.1%,6.1%,0.0%,0.3%,0.0%,2,-25
2024 Miami R128,L vs Tauson,0.0%,-,11.0%,52.9%,20.7%,17.6%,25.0%,15.4%,40.0%,0.0%,-,17,41
2024 Indian Wells R128,W vs Bucsa,0.0%,-,3.1%,33.3%,12.2%,20.0%,0.0%,7.1%,50.0%,0.0%,-,-103,-30
2024 Australian Open R64,L vs Gauff,0.0%,-,7.7%,45.5%,18.0%,21.4%,11.1%,7.1%,30.0%,1.1%,33.3%,15,1
2024 Hobart R16,L vs Zhu,5.3%,80.0%,8.3%,73.3%,20.7%,36.4%,0.0%,17.0%,46.2%,0.0%,-,94,59
2023 Guadalajara F,L vs Sakkari,16.7%,75.0%,18.2%,76.0%,12.9%,35.7%,0.0%,4.3%,0.0%,0.6%,0.0%,47,69
2023 Guadalajara SF,W vs Kenin,1.5%,100.0%,3.0%,100.0%,27.0%,25.0%,75.0%,57.1%,100.0%,0.9%,100.0%,26,137
2023 Guadalajara QF,W vs Trevisan,2.6%,33.3%,7.6%,76.5%,19.9%,33.3%,11.1%,2.2%,0.0%,0.3%,0.0%,9,13
2023 Monterrey R32,W vs Niemeier,0.0%,-,7.5%,50.0%,29.2%,50.0%,0.0%,0.0%,0.0%,0.0%,-,21,59
2022 San Jose R16,L vs Sabalenka,1.0%,100.0%,8.2%,72.2%,23.7%,36.0%,10.0%,7.7%,50.0%,0.5%,0.0%,39,46
2022 Australian Open R128,L vs Collins,0.0%,-,1.9%,100.0%,10.6%,33.3%,0.0%,13.8%,40.0%,0.0%,-,19,31
2022 Australian Open Q1,L vs Hatouka,0.0%,-,0.0%,0.0%,28.9%,44.4%,0.0%,0.0%,0.0%,0.0%,-,-65,26
2019 ITF Concord F,W vs Li,12.2%,83.3%,14.5%,72.2%,22.5%,22.2%,40.0%,3.4%,0.0%,0.0%,-,12,27
2018 Indian Wells R32,L vs Halep,1.0%,0.0%,12.8%,80.0%,12.2%,11.9%,33.3%,11.8%,27.8%,1.4%,20.0%,74,60
Last 52 Weeks (1 matches),,0.0%,-,7.3%,14.3%,22.9%,30.0%,0.0%,3.4%,10.0%,0.0%,-,27,23
Career (21 matches),,2.1%,73.3%,8.5%,62.6%,17.7%,27.1%,15.3%,8.8%,29.9%,0.4%,26.3%,19,35
