Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),135,571,119,1679,117,1641,104,1629,148,1489,44,1727,,
2025,111,696,115,1685,112,1646,105,1632,147,1491,43,1951
2024,78,864,99,1701,100,1660,100,1624,161,1460,14,4483
2023,44,1163,123,1650,110,1619,119,1590,183,1424,,
2022,150,419,197,1518,180,1502,193,1450,197,1376,,
2021,198,342,236,1440,216,1421,227,1378,191,1369,,
2020,151,493,126,1595,123,1561,123,1530,,,39,2210
2019,146,419,131,1645,123,1607,127,1582,152,1467,62,1396
2018,126,470,147,1601,160,1540,101,1603,149,1459,156,432
2017,155,375,205,1437,210,1375,201,1309,174,1380,101,676
2016,344,114,,,,,,,,,818,28
2015,,,,,,,,,,,1300,3
2014,1035,7,,,,,,,,,1109,9
