Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Beijing R128,L vs Cirstea,33% (3/9),67% (2/3),0/0,0/0,40% (4/10),2/4,2/3,- (0/0),- (0/0)
2025 Indian Wells R32,L vs Kostyuk,36% (5/14),11% (1/9),0/0,0/0,69% (9/13),0/2,0/1,- (0/0),- (0/0)
2025 Indian Wells R64,W vs Lys,71% (10/14),22% (2/9),2/5,1/4,75% (3/4),0/0,0/0,60% (3/5),80% (4/5)
2025 Indian Wells R128,W vs Rakhimova,44% (7/16),63% (5/8),2/2,1/1,57% (4/7),0/0,0/0,80% (4/5),60% (3/5)
2024 Guangzhou F,L vs Danilovic,50% (3/6),33% (1/3),0/0,0/0,44% (4/9),2/4,2/3,- (0/0),- (0/0)
2024 US Open R64,L vs Errani,60% (9/15),100% (1/1),0/0,0/0,79% (11/14),2/4,0/1,- (0/0),- (0/0)
2024 US Open R128,W vs Collins,45% (9/20),28% (5/18),2/8,1/3,58% (7/12),0/1,0/0,- (0/0),- (0/0)
2024 Wimbledon R128,L vs Gauff,25% (2/8),100% (1/1),0/0,0/0,40% (4/10),1/3,1/2,- (0/0),- (0/0)
2024 Charleston R64,W vs Day,46% (6/13),67% (6/9),2/4,1/2,40% (4/10),0/1,0/0,- (0/0),- (0/0)
2024 Miami R128,L vs Tauson,89% (8/9),43% (3/7),1/1,0/0,55% (6/11),0/2,0/1,- (0/0),- (0/0)
2024 Indian Wells R128,W vs Bucsa,46% (6/13),50% (6/12),2/4,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Australian Open R64,L vs Gauff,55% (6/11),25% (2/8),0/0,0/0,43% (3/7),4/6,3/4,25% (1/4),20% (1/5)
2024 Hobart R16,L vs Zhu,69% (11/16),38% (3/8),1/3,0/0,58% (7/12),1/3,0/1,- (0/0),- (0/0)
2023 Guadalajara F,L vs Sakkari,78% (7/9),50% (1/2),0/0,0/0,64% (7/11),1/3,1/2,- (0/0),- (0/0)
2023 Guadalajara SF,W vs Kenin,82% (9/11),80% (4/5),2/2,1/1,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2023 Guadalajara QF,W vs Trevisan,55% (12/22),33% (3/9),2/12,1/6,67% (8/12),7/8,4/4,60% (6/10),50% (5/10)
2023 US Open R128,L vs Burel,40% (2/5),56% (5/9),0/0,0/0,53% (8/15),0/2,0/1,- (0/0),- (0/0)
2023 Wimbledon R128,L vs Kasatkina,67% (4/6),13% (1/8),0/0,0/0,44% (4/9),0/2,0/1,- (0/0),- (0/0)
2023 Monterrey R32,W vs Niemeier,100% (6/6),60% (6/10),2/4,1/2,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2022 San Jose R16,L vs Sabalenka,62% (8/13),36% (5/14),1/2,0/0,59% (10/17),0/2,0/1,- (0/0),- (0/0)
2025 (4 matches),,47.2%,34.5%,57.1%,40.0%,58.8%,33.3%,50.0%,70.0%,70.0%
2024 (9 matches),,54.1%,41.8%,40.0%,42.9%,54.0%,41.7%,50.0%,25.0%,20.0%
2023 (6 matches),,67.8%,46.5%,33.3%,33.3%,62.1%,53.3%,62.5%,60.0%,50.0%
2022 (2 matches),,50.0%,30.0%,50.0%,-,53.8%,20.0%,0.0%,-,-
2020 (1 matches),,42.9%,100.0%,-,-,66.7%,50.0%,0.0%,-,-
Career (106 matches),,59.5%,43.9%,53.8%,49.6%,57.3%,41.1%,40.0%,55.3%,47.5%
