Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Beijing R128,L vs Cirstea,3.4,3.7,2.9,44.6%,37.9%,44.4%,0.0%,50.0%,28.8%,6.5,11.4,-4.5,-11.0
2025 Indian Wells R32,L vs Kostyuk,3.7,3.9,3.5,47.3%,39.4%,40.0%,55.6%,69.1%,37.7%,3.0,2.1,-5.0,-11.9
2025 Indian Wells R64,W vs Lys,3.4,2.9,3.9,58.8%,62.1%,27.8%,57.1%,57.8%,25.5%,6.5,5.6,-6.0,-8.6
2025 Indian Wells R128,W vs Rakhimova,4.1,4.2,4.1,61.3%,48.4%,33.3%,56.3%,52.6%,39.6%,1.0,0.9,6.0,9.2
2024 Guangzhou F,L vs Danilovic,3.5,3.5,3.6,46.3%,29.6%,33.3%,50.0%,55.0%,13.4%,0.5,0.7,-3.5,-6.0
2024 US Open R128,W vs Collins,3.0,2.8,3.2,47.9%,50.0%,47.1%,50.0%,56.5%,51.9%,4.5,4.4,0.0,0.0
2024 Charleston R64,W vs Day,4.7,4.6,4.8,44.6%,53.7%,44.4%,58.8%,64.2%,20.6%,0.0,0.0,-0.5,-0.6
2024 Miami R128,L vs Tauson,3.3,3.2,3.5,49.0%,50.0%,57.1%,45.5%,61.6%,30.1%,12.0,11.1,-1.5,-3.1
2024 Indian Wells R128,W vs Bucsa,3.2,3.4,3.0,71.2%,47.1%,50.0%,0.0%,52.1%,31.0%,5.0,9.6,8.5,22.4
2024 Australian Open R64,L vs Gauff,4.7,4.8,4.5,41.4%,56.4%,33.3%,37.5%,55.2%,34.1%,13.0,9.6,-3.0,-3.7
2024 Hobart R16,L vs Zhu,3.6,3.7,3.4,48.6%,50.0%,53.3%,50.0%,50.2%,34.4%,5.5,5.1,3.0,3.8
2023 Guadalajara F,L vs Sakkari,3.4,3.2,3.6,51.1%,41.9%,11.1%,42.9%,54.7%,43.9%,-2.0,-2.5,-5.5,-12.8
2023 Guadalajara SF,W vs Kenin,2.4,2.1,2.8,57.0%,59.3%,40.0%,-,52.7%,38.5%,7.5,16.0,7.0,21.9
2023 Guadalajara QF,W vs Trevisan,3.8,3.8,3.8,50.4%,42.1%,63.6%,68.8%,53.1%,44.7%,7.0,4.2,2.0,2.3
2023 Monterrey R32,W vs Niemeier,2.6,2.8,2.4,68.3%,52.9%,100.0%,100.0%,55.3%,17.6%,7.0,21.2,2.5,9.6
2022 San Jose R16,L vs Sabalenka,2.7,3.1,2.4,48.1%,50.0%,41.7%,33.3%,68.2%,50.0%,7.0,5.8,-1.5,-5.0
2022 Australian Open R128,L vs Collins,3.1,2.8,3.4,30.3%,50.0%,57.1%,66.7%,52.0%,23.3%,0.0,0.0,-6.0,-13.0
2022 Australian Open Q1,L vs Hatouka,2.9,2.8,2.9,62.8%,50.0%,50.0%,0.0%,48.3%,23.0%,5.0,9.8,1.5,3.2
2019 ITF Concord F,W vs Li,3.9,3.0,4.4,63.6%,61.5%,7.1%,40.0%,61.0%,26.3%,13.5,12.3,-1.5,-2.8
2018 Indian Wells R32,L vs Halep,4.4,4.4,4.3,51.5%,48.1%,47.8%,50.0%,54.8%,28.2%,6.0,3.2,1.5,1.3
Last 52 Weeks (1 matches),,3.4,3.7,2.9,44.6%,37.9%,44.4%,0.0%,50.0%,28.8%,6.5,11.4,-4.5,-11.0
Career (21 matches),,3.5,3.5,3.6,51.8%,50.3%,42.7%,50.6%,57.0%,32.9%,6.1,6.0,-0.1,-0.1
