Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Championships,1,Grass,4,4,0,100.0%,0,0,0,-,1938,1938,W,0,,,,,,,,,,
Roland Garros,1,Clay,5,4,1,80.0%,0,0,0,-,1946,1946,SF,0,,,,,,,,,,
Wimbledon,2,Grass,10,8,2,80.0%,0,0,0,-,1938,1946,SF,0,,,,,,,,,,
US National Championships,13,Grass,43,30,13,69.8%,0,0,0,-,1936,1959,SF,0,,,,,,,,,,
Los Angeles Pac Southwest,32,Hard,107,77,30,72.0%,0,0,0,-,1930,1973,W,0,,,,,,,,,,
Ojai,32,Hard,73,46,27,63.0%,0,0,0,-,1959,1974,W,0,,,,,,,,,,
Los Angeles SoCal Chps,23,Hard,76,55,21,72.4%,0,0,0,-,1933,1970,W,0,,,,,,,,,,
La Jolla,21,Hard,49,37,12,75.5%,0,0,0,-,1932,1970,W,0,,,,,,,,,,
Santa Monica,16,Hard,43,33,10,76.7%,0,0,0,-,1932,1973,W,0,,,,,,,,,,
Rye,9,Grass,31,22,9,71.0%,0,0,0,-,1929,1945,F,0,,,,,,,,,,
