Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,564,400,164,70.9%,834-367,69.4%,6343-4410,59.0%,0-0,-,0,,,,,,,,,,,
Clay,127,107,20,84.3%,208-50,80.6%,1479-793,65.1%,0-0,-,0,,,,,,,,,,,
Grass,210,146,64,69.5%,324-158,67.2%,2601-1968,56.9%,0-0,-,0,,,,,,,,,,,
Carpet,6,3,3,50.0%,8-7,53.3%,80-79,50.3%,0-0,-,0,,,,,,,,,,,
Grand Slams,62,46,16,74.2%,99-42,70.2%,758-541,58.4%,0-0,-,0,,,,,,,,,,,
Finals,135,64,71,47.4%,149-149,50.0%,1450-1435,50.3%,0-0,-,0,,,,,,,,,,,
Semi-finals,199,125,74,62.8%,268-175,60.5%,2319-1949,54.3%,0-0,-,0,,,,,,,,,,,
Quarter-finals,228,161,67,70.6%,348-159,68.6%,2701-1989,57.6%,0-0,-,0,,,,,,,,,,,
vs Righties,336,162,174,48.2%,385-393,49.5%,3803-3804,50.0%,0-0,-,0,,,,,,,,,,,
vs Lefties,23,16,7,69.6%,34-16,68.0%,263-210,55.6%,0-0,-,0,,,,,,,,,,,
