Date,Tournament,Surface,Rd,,Score
04-Jul-1968,La Jolla,Hard,F,Cheney / Christine Cheney [USA] d. Datton / Leanne Strode [USA],6-2 6-3
28-Nov-1966,Tempe,Hard,F,Cheney / Fri [USA] d. Dorothy Clayton / Sheila Wilson [USA],6-0 4-6 6-4
16-May-1966,La Jolla Nationals,Hard,F,Rosie Casals / Billie Jean King [USA] d. Cheney / Nancy Richey [USA],6-2 6-4
20-Apr-1964,Ojai,Hard,F,Cheney / Carole Graebner [USA] d. Kathy Blake / Kathleen Harter [USA],3-6 6-3 6-1
12-Aug-1963,Beverly Hills,Hard,F,Marilyn Joseph / Corky Olerich [USA] d. Cheney / Helen Mcdowell [USA],6-3 7-5
13-Aug-1962,Beverly Hills,Hard,F,Cheney / Helen Mcdowell [USA] d. Marilyn Joseph / Sue Muccia [USA],14-12 6-3
02-Jul-1962,La Jolla,Hard,F,Ann Keeney / Georgia Turner [USA] d. Cheney / Helen Mcdowell [USA],6-4 6-4
05-May-1962,Los Angeles SoCal Chps,Hard,F,Billie Jean King / Karen Susman [USA] d. Cheney / Carole Graebner [USA],4-6 6-1 6-3
07-Dec-1961,La Jolla Nationals,Hard,F,Dorothy Knode / Mary Arnold [USA] d. Cheney / Maggie Taylor [USA],6-4 6-2
07-Aug-1961,Beverly Hills,Hard,F,Marilyn Joseph / Sue Muccia [USA] d. Cheney / Helen Mcdowell [USA],6-3 6-8 7-5
04-Jul-1960,La Jolla Chps,Hard,F,Cheney / Corky Olerich [USA] d. Patricia Cody / Pattee [USA],6-1 6-2
11-Feb-1960,Palm Desert,,F,Cheney / Carole Graebner [USA] d. Billie Jean King / Barbara Browning [USA],6-4 6-2
02-Mar-1959,La Jolla Invitational,Hard,F,Cheney / Mary Arnold [USA] d. Sally Moore / Jacque Tegland [USA],7-5 7-5
10-Jul-1958,La Jolla,Hard,F,Cheney / Helen Mcdowell [USA] d. Bart / Mary Struthers [USA],6-0 8-6
12-Dec-1957,La Jolla Natls,Hard,F,Beverly Baker Fleitz / Patricia Canning Todd [USA] d. Cheney / Sally Moore [USA],6-0 6-0
