Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Rouen R32,L vs Boisson,15,20,0.8,15.2%,20.2%,15,16,0.9,17.0%,18.2%,9.1%,8.0%,3.0,27.3%,9.1%
2024 US Open R64,L vs Kostyuk,11,35,0.3,8.2%,26.1%,11,25,0.4,9.7%,22.1%,8.0%,0.9%,1.0,19.4%,20.1%
2024 US Open R128,W vs Paquet,14,24,0.6,14.0%,24.0%,10,20,0.5,12.0%,24.1%,6.0%,6.0%,0.3,7.0%,26.0%
2024 Wimbledon R32,L vs Wang,20,36,0.6,9.6%,17.2%,18,29,0.6,9.2%,14.9%,6.7%,2.6%,0.7,15.3%,22.5%
2024 Wimbledon R64,W vs Boulter,17,35,0.5,7.2%,14.9%,17,23,0.7,8.0%,10.8%,5.2%,1.9%,0.5,16.6%,31.9%
2024 Wimbledon R128,W vs Bai,13,13,1.0,12.4%,12.4%,12,10,1.2,12.4%,10.3%,11.3%,1.0%,0.7,17.1%,24.8%
2024 Cluj-Napoca SF,L vs Pliskova,16,22,0.7,13.6%,18.6%,14,16,0.9,13.9%,15.8%,9.9%,4.0%,1.2,19.5%,16.9%
2023 Wimbledon R128,L vs Parry,32,33,1.0,16.8%,17.4%,28,31,0.9,15.6%,17.2%,11.1%,4.4%,1.1,21.1%,19.5%
2023 Hua Hin R32,L vs Andreescu,12,22,0.5,10.4%,19.1%,12,17,0.7,11.2%,15.9%,7.5%,2.8%,0.9,20.0%,23.5%
2023 United Cup RR,W vs Inglis,25,23,1.1,21.7%,20.0%,20,23,0.9,19.4%,22.3%,10.7%,7.8%,0.7,16.5%,24.3%
2022 BJK Cup Finals RR: ESP vs GBR RR,W vs Badosa,15,24,0.6,11.5%,18.3%,15,21,0.7,12.2%,17.1%,8.1%,4.1%,0.5,14.5%,26.7%
2022 BJK Cup Finals RR: KAZ vs GBR RR,L vs Rybakina,11,17,0.6,10.0%,15.5%,9,10,0.9,9.6%,10.6%,5.3%,4.3%,1.9,23.6%,12.7%
2022 US Open R64,L vs Galfi,3,18,0.2,3.4%,20.7%,0,14,0.0,0.0%,18.2%,0.0%,0.0%,1.8,20.7%,11.5%
2022 US Open R128,W vs Kasatkina,36,63,0.6,17.9%,31.3%,32,58,0.6,17.6%,31.9%,13.2%,4.4%,0.5,11.9%,21.9%
2022 Wimbledon R64,L vs Pegula,26,34,0.8,16.5%,21.5%,24,31,0.8,16.4%,21.2%,11.6%,4.1%,0.8,12.0%,15.2%
2022 Wimbledon R128,W vs Masarova,20,17,1.2,16.7%,14.2%,18,15,1.2,16.8%,14.0%,9.3%,6.5%,0.8,15.0%,20.0%
2022 Birmingham R16,L vs Halep,5,25,0.2,5.7%,28.4%,4,20,0.2,5.2%,26.0%,3.9%,1.3%,1.3,13.6%,10.2%
2022 Australian Open R128,L vs Swiatek,11,26,0.4,11.0%,26.0%,11,23,0.5,11.3%,23.7%,7.2%,4.1%,1.3,20.0%,15.0%
2021 US Open R128,L vs Garcia,24,36,0.7,10.6%,15.9%,19,29,0.7,9.2%,14.1%,5.3%,3.9%,0.9,18.1%,20.8%
2021 Montreal R32,L vs Andreescu,19,25,0.8,11.4%,15.1%,18,22,0.8,11.6%,14.2%,7.7%,3.9%,0.8,20.5%,24.7%
Career (32 matches),,570,895,0.6,12.6%,19.8%,507,763,0.7,12.3%,18.5%,7.3%,3.6%,0.8,16.5%,19.6%
