Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,23,15,8,65.2%,6,5,1,83.3%,2019,2026,R64,23,1.04,2.8%,4.8%,58.6%,61.6%,43.1%,53.9%,48.1%,52.7%,51.1%
Roland Garros,6,Clay,10,4,6,40.0%,1,0,1,0.0%,2020,2025,R128,10,0.92,2.3%,6.0%,57.6%,57.6%,40.9%,50.5%,45.4%,53.3%,56.3%
Wimbledon,9,Grass,16,7,9,43.8%,5,4,1,80.0%,2016,2025,R32,12,0.97,3.3%,5.6%,58.2%,63.5%,43.4%,55.1%,43.5%,52.9%,39.5%
US Open,7,Hard,17,10,7,58.8%,10,6,4,60.0%,2018,2025,R64,17,0.97,3.3%,6.4%,51.1%,64.5%,42.7%,53.8%,44.6%,57.2%,48.7%
Fed Cup,1,,2,0,2,0.0%,1,1,0,100.0%,2020,2020,,2,0.93,2.3%,2.8%,68.9%,67.2%,41.8%,59.3%,37.9%,63.6%,13.0%
Prague,2,Hard,2,0,2,0.0%,0,0,0,-,2020,2025,R32,2,0.88,2.3%,9.8%,50.4%,58.2%,37.9%,48.1%,45.8%,47.8%,70.0%
Eastbourne,9,Grass,16,7,9,43.8%,6,3,3,50.0%,2015,2025,QF,16,0.94,2.3%,5.5%,58.1%,61.2%,47.0%,55.2%,42.3%,54.9%,44.7%
Nottingham,6,Grass,14,8,6,57.1%,4,4,0,100.0%,2019,2025,QF,14,1.02,4.2%,4.1%,56.4%,67.5%,47.5%,58.8%,42.1%,57.9%,46.6%
Rome,3,Clay,3,0,3,0.0%,0,0,0,-,2023,2025,Q1,3,0.78,1.7%,4.6%,53.8%,55.9%,37.5%,47.4%,41.2%,31.8%,20.0%
Madrid,3,Clay,5,2,3,40.0%,2,2,0,100.0%,2022,2025,R128,5,0.89,1.3%,8.9%,53.7%,62.1%,33.0%,48.6%,45.8%,41.1%,47.9%
Miami,6,Hard,10,4,6,40.0%,4,1,3,25.0%,2019,2025,Q2,10,1.00,1.5%,2.8%,57.5%,60.2%,43.6%,53.1%,47.0%,55.7%,51.0%
