Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Alex Kuznetsov [USA],5,3,62.5%,3,2,1,66.7%,2004,2013,3,0.76,5.6%,4.3%,64.2%,63.5%,50.0%,58.6%,31.5%,43.8%,80.0%
6,John Isner [USA],2,4,33.3%,8,3,5,37.5%,2007,2014,4,0.83,8.2%,3.7%,64.0%,78.9%,61.8%,72.8%,22.6%,71.4%,10.0%
6,Bobby Reynolds [USA],3,3,50.0%,3,1,2,33.3%,2003,2011,2,1.37,11.0%,1.4%,65.5%,70.5%,72.0%,71.0%,39.6%,80.0%,43.8%
6,Michael Russell [USA],1,5,16.7%,0,0,0,-,2004,2011,2,1.06,6.1%,3.0%,53.9%,69.7%,51.3%,61.2%,41.0%,78.3%,47.1%
6,Cecil Mamiit [PHI],6,0,100.0%,2,2,0,100.0%,2004,2008,0,,,,,,,,,,
6,Brendan Evans [USA],4,2,66.7%,4,2,2,50.0%,2004,2008,0,,,,,,,,,,
5,Rajeev Ram [USA],4,1,80.0%,1,1,0,100.0%,2008,2013,3,1.05,7.4%,6.4%,53.5%,72.2%,56.4%,64.9%,37.0%,70.6%,58.3%
5,Kevin Kim [USA],3,2,60.0%,0,0,0,-,2006,2012,3,1.39,12.4%,4.6%,63.9%,81.5%,50.0%,70.1%,41.4%,90.9%,47.6%
5,Jesse Levine [CAN],3,2,60.0%,3,1,2,33.3%,2009,2012,2,0.94,7.5%,1.9%,63.2%,64.2%,56.4%,61.3%,36.5%,37.5%,42.9%
5,Ryan Sweeting [USA],3,2,60.0%,2,1,1,50.0%,2007,2009,1,1.06,6.7%,1.0%,57.7%,65.0%,52.3%,59.6%,43.0%,66.7%,31.6%
5,Todd Widom [USA],1,4,20.0%,3,2,1,66.7%,2003,2008,0,,,,,,,,,,
4,James Ward [GBR],2,2,50.0%,1,0,1,0.0%,2011,2014,4,0.90,3.4%,4.4%,62.9%,60.4%,42.9%,53.9%,41.7%,51.3%,51.4%
4,Paolo Lorenzi [ITA],2,2,50.0%,1,1,0,100.0%,2006,2014,3,0.89,4.4%,2.4%,66.1%,62.2%,53.6%,59.3%,36.1%,61.5%,66.7%
4,Rik De Voest [RSA],1,3,25.0%,0,0,0,-,2005,2013,2,1.02,3.0%,3.0%,63.3%,57.9%,51.6%,55.6%,45.3%,58.8%,50.0%
4,Tim Smyczek [USA],3,1,75.0%,1,1,0,100.0%,2004,2012,1,1.61,3.9%,5.9%,60.8%,83.9%,50.0%,70.6%,47.5%,50.0%,44.4%
