Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2012 Buenos Aires R32,L vs Nalbandian,0.0%,-,4.9%,40.0%,4.5%,16.7%,0.0%,2.5%,0.0%,0.8%,0.0%,-148,-141
2009 Houston F,L vs Hewitt,1.3%,100.0%,5.1%,71.4%,12.5%,25.0%,0.0%,5.3%,12.5%,0.9%,50.0%,22,-11
Career (2 matches),,0.7%,100.0%,5.0%,58.3%,8.0%,20.8%,0.0%,3.9%,7.1%,0.9%,25.0%,-70,-77
