Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2014,171,300,156,1598,130,1585,156,1541,115,1553,962,30,,
2013,138,410,148,1613,118,1596,140,1575,125,1537,1191,17,,
2012,143,394,159,1594,142,1570,128,1584,153,1489,636,70,,
2011,129,447,128,1641,114,1612,106,1614,,,642,65,,
2010,,,124,1642,103,1619,94,1629,,,,,,
2009,105,521,104,1687,84,1653,106,1637,111,1528,,,,
2008,119,431,80,1725,80,1674,80,1687,,,578,75,,
2007,126,357,93,1696,87,1646,98,1642,,,553,71,,
2006,194,202,287,1429,293,1357,225,1453,,,780,35,,
2005,265,130,346,1287,332,1248,325,1266,,,1091,13,,
2004,383,73,,,,,,,,,1039,16,,
2003,446,59,,,,,,,,,1698,1,,
2002,735,15,,,,,,,,,1536,1,,
