Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Braunschweig CH F,W vs Van De Zandschulp,12.9%,17.7%,61.1%,15.3%,8.1%,16.2%,58.8%,12.2%,35.3%,60.0%,25.0%,20.0%,20.0%,65.0%,-79
2024 Roland Garros R64,L vs Djokovic,17.9%,24.4%,34.4%,22.1%,22.4%,30.6%,34.2%,29.0%,51.9%,36.4%,16.7%,11.5%,15.4%,34.8%,-4
2024 Bordeaux CH R16,L vs Shang,18.4%,28.7%,42.6%,24.6%,29.4%,41.2%,50.0%,40.0%,56.5%,32.1%,28.6%,3.0%,12.1%,34.4%,-87
2024 Barcelona R32,W vs Musetti,10.0%,23.8%,63.9%,19.9%,10.0%,28.3%,70.4%,23.2%,38.5%,85.3%,100.0%,10.0%,10.0%,44.4%,-79
2024 Marrakech F,L vs Berrettini,16.4%,23.0%,50.0%,21.6%,18.2%,27.3%,44.4%,25.5%,27.8%,73.1%,100.0%,12.5%,12.5%,64.3%,10
2024 Indian Wells R64,L vs Medvedev,17.4%,23.9%,42.1%,22.0%,20.0%,28.6%,42.9%,26.0%,84.2%,43.8%,-,9.1%,9.1%,40.0%,-79
2024 Miami R64,L vs Alcaraz,17.0%,18.9%,39.0%,24.7%,21.2%,24.2%,46.2%,33.6%,64.3%,52.6%,33.3%,11.8%,11.8%,26.7%,-8
2023 US Open R128,W vs Rune,36.6%,46.5%,57.6%,42.4%,44.4%,59.3%,56.7%,55.2%,73.3%,41.7%,0.0%,31.0%,35.7%,58.6%,82
2023 Rome R64,W vs Evans,17.2%,25.4%,57.4%,22.5%,18.0%,24.3%,57.1%,24.4%,6.1%,58.1%,54.5%,15.0%,35.0%,58.8%,25
2023 Marrakech F,W vs Muller,13.5%,18.8%,64.2%,19.9%,15.3%,22.2%,68.9%,23.8%,41.7%,80.6%,100.0%,9.1%,9.1%,50.0%,-26
2023 Miami R64,L vs Medvedev,24.3%,27.0%,39.1%,27.3%,36.8%,42.1%,41.7%,42.6%,50.0%,27.3%,0.0%,15.4%,15.4%,36.4%,29
2023 Australian Open R128,L vs Djokovic,25.6%,28.2%,35.1%,28.5%,41.0%,46.2%,43.5%,46.7%,66.7%,47.6%,20.0%,10.5%,10.5%,29.4%,-40
2022 Naples R32,W vs Jarry,26.7%,28.3%,68.4%,29.5%,42.9%,45.7%,80.0%,47.7%,81.3%,52.6%,0.0%,5.3%,5.3%,55.6%,-72
2022 Florence R16,W vs Berrettini,20.0%,26.4%,52.6%,25.6%,22.2%,31.1%,50.0%,30.0%,45.0%,50.0%,25.0%,16.7%,16.7%,60.0%,39
2022 Umag QF,L vs Sinner,12.7%,16.5%,56.1%,19.9%,19.2%,25.0%,52.4%,30.2%,73.7%,72.7%,50.0%,0.0%,0.0%,62.5%,-118
2022 Amersfoort CH F,L vs Griekspoor,25.4%,30.2%,33.3%,29.7%,27.1%,33.3%,37.1%,32.7%,66.7%,62.5%,45.5%,23.1%,23.1%,20.0%,102
2022 Buenos Aires R16,L vs Ruud,11.5%,20.5%,52.3%,18.3%,14.3%,26.8%,52.1%,23.8%,26.1%,84.8%,83.3%,5.6%,5.6%,52.9%,-68
2021 Murcia CH F,L vs Griekspoor,32.6%,36.0%,44.6%,36.4%,35.2%,40.7%,54.3%,41.3%,56.0%,69.0%,100.0%,30.0%,30.0%,28.6%,16
2021 Australian Open R64,L vs Medvedev,6.9%,12.5%,42.2%,9.2%,7.7%,12.8%,41.7%,11.8%,64.3%,40.0%,66.7%,6.7%,13.3%,42.9%,-51
2020 Campinas CH F,L vs Cerundolo,16.3%,17.4%,53.6%,19.7%,17.6%,19.6%,61.9%,23.3%,44.4%,83.3%,100.0%,15.6%,15.6%,40.7%,39
Career (30 matches),,20.4%,27.3%,52.3%,25.8%,24.0%,33.0%,54.5%,32.3%,46.3%,59.2%,54.8%,15.4%,18.8%,48.0%,33
