Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,6,2,4,33.3%,4-10,28.6%,68-80,45.9%,0-2,0.0%,6,76.3%,18.7%,4.6%,4.2%,56.4%,71.5%,49.3%,61.8%,33.8%,48.5%,0.89
Clay,9,4,5,44.4%,8-10,44.4%,77-94,45.0%,2-0,100.0%,9,65.5%,23.5%,2.1%,3.6%,61.1%,61.7%,46.0%,55.6%,38.6%,47.5%,0.87
Grass,1,0,1,0.0%,0-3,0.0%,10-19,34.5%,0-1,0.0%,1,64.3%,7.1%,4.2%,4.2%,54.7%,65.4%,39.5%,53.7%,30.7%,42.6%,0.66
Grand Slams,2,0,2,0.0%,1-6,14.3%,29-43,40.3%,0-2,0.0%,2,77.1%,5.7%,3.3%,4.1%,57.3%,71.0%,44.7%,59.8%,28.6%,45.2%,0.71
Masters,5,2,3,40.0%,3-6,33.3%,44-50,46.8%,0-1,0.0%,5,71.4%,26.5%,3.5%,4.4%,52.2%,67.8%,50.0%,59.3%,37.2%,49.0%,0.91
Other Tours,9,4,5,44.4%,8-11,42.1%,82-100,45.1%,2-0,100.0%,9,66.7%,22.2%,3.2%,3.5%,62.8%,63.2%,45.7%,56.7%,38.0%,47.6%,0.88
Best of 5,2,0,2,0.0%,1-6,14.3%,29-43,40.3%,0-2,0.0%,2,77.1%,5.7%,3.3%,4.1%,57.3%,71.0%,44.7%,59.8%,28.6%,45.2%,0.71
Best of 3,14,6,8,42.9%,11-17,39.3%,126-150,45.7%,2-1,66.7%,14,68.3%,23.7%,3.3%,3.8%,59.0%,64.6%,47.5%,57.6%,37.7%,48.1%,0.89
Semi-finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,0.0%,3.6%,69.1%,52.6%,29.4%,45.5%,32.8%,38.9%,0.60
Quarter-finals,1,1,0,100.0%,2-0,100.0%,12-8,60.0%,0-0,-,1,80.0%,40.0%,1.1%,3.3%,66.7%,63.3%,43.3%,56.7%,44.6%,52.1%,1.03
vs Righties,15,5,10,33.3%,10-22,31.3%,138-179,43.5%,2-3,40.0%,15,69.0%,19.5%,3.5%,3.9%,58.8%,65.3%,46.0%,57.4%,35.9%,47.1%,0.84
vs Lefties,1,1,0,100.0%,2-1,66.7%,17-14,54.8%,0-0,-,1,81.3%,26.7%,1.0%,4.0%,57.0%,71.9%,55.8%,65.0%,36.7%,52.5%,1.05
vs Top 10,1,0,1,0.0%,0-2,0.0%,11-14,44.0%,0-1,0.0%,1,75.0%,16.7%,1.1%,4.5%,50.0%,65.9%,50.0%,58.0%,32.1%,45.8%,0.76
