Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 US Open R64,L vs Shang,26,30,0.9,12.8%,14.8%,23,22,1.0,12.4%,11.9%,10.3%,0.5%,1.7,26.1%,15.3%
2024 US Open R128,W vs Choinski,41,25,1.6,12.3%,7.5%,23,17,1.4,7.8%,5.8%,5.5%,2.0%,0.9,19.8%,22.2%
2024 Braunschweig CH F,W vs Van De Zandschulp,11,11,1.0,10.1%,10.1%,10,11,0.9,9.5%,10.5%,7.6%,1.9%,0.5,17.4%,35.8%
2024 Wimbledon R128,L vs Zverev,17,21,0.8,10.4%,12.8%,10,18,0.6,7.5%,13.4%,3.0%,3.7%,1.7,28.0%,16.5%
2024 Roland Garros R64,L vs Djokovic,19,18,1.1,12.6%,11.9%,17,15,1.1,12.1%,10.7%,7.9%,4.3%,3.0,27.8%,9.3%
2024 Bordeaux CH R16,L vs Shang,28,27,1.0,17.1%,16.5%,19,24,0.8,12.8%,16.2%,10.1%,2.0%,1.3,23.2%,17.7%
2024 Barcelona R32,W vs Musetti,32,13,2.5,19.2%,7.8%,30,13,2.3,19.0%,8.2%,15.2%,3.8%,1.4,23.4%,16.2%
2024 Marrakech F,L vs Berrettini,11,17,0.6,8.7%,13.4%,11,16,0.7,9.2%,13.3%,6.7%,2.5%,1.2,24.4%,19.7%
2024 Miami Masters R64,L vs Alcaraz,9,14,0.6,8.9%,13.9%,9,11,0.8,9.6%,11.7%,5.3%,4.3%,1.5,22.8%,14.9%
2024 Indian Wells Masters R64,L vs Medvedev,17,14,1.2,18.1%,14.9%,17,14,1.2,18.5%,15.2%,7.6%,2.2%,1.9,28.7%,14.9%
2023 US Open R64,L vs Karatsev,10,8,1.3,4.0%,3.2%,9,7,1.3,4.0%,3.1%,2.2%,1.3%,1.5,32.8%,21.3%
2023 US Open R128,W vs Rune,31,21,1.5,14.8%,10.0%,24,16,1.5,12.6%,8.4%,8.9%,2.6%,0.9,17.7%,20.6%
2023 Wimbledon R64,L vs Rune,23,21,1.1,11.1%,10.1%,21,16,1.3,11.5%,8.8%,5.5%,5.5%,1.0,21.6%,22.6%
2023 Wimbledon R128,W vs Arnaldi,20,20,1.0,8.2%,8.2%,18,15,1.2,8.1%,6.7%,5.4%,2.2%,1.0,22.6%,22.2%
2023 Rome Masters R64,W vs Evans,36,27,1.3,14.5%,10.8%,36,24,1.5,15.7%,10.4%,10.9%,4.8%,1.0,20.5%,19.7%
2023 Marrakech F,W vs Muller,21,28,0.8,10.1%,13.5%,19,26,0.7,9.9%,13.6%,6.8%,3.1%,0.7,19.7%,28.8%
2023 Miami Masters R64,L vs Medvedev,5,11,0.5,7.4%,16.2%,3,10,0.3,4.8%,16.1%,3.2%,1.6%,1.4,26.5%,19.1%
2023 Australian Open R128,L vs Djokovic,13,19,0.7,8.8%,12.8%,9,18,0.5,6.8%,13.5%,3.8%,3.0%,1.5,25.7%,17.6%
2022 Naples R32,W vs Jarry,28,16,1.8,22.0%,12.6%,26,11,2.4,23.4%,9.9%,5.4%,6.3%,1.0,26.8%,27.6%
2022 Florence R16,W vs Berrettini,25,31,0.8,11.0%,13.7%,21,26,0.8,10.3%,12.7%,2.9%,6.9%,1.0,22.9%,22.0%
Career (56 matches),,1138,1289,0.9,11.2%,12.7%,990,1133,0.9,10.8%,12.3%,5.2%,2.6%,1.0,20.7%,20.7%
