Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 US Open R64,L vs Shang,29% (4/14),25% (1/4),1/4,60% (9/15),44% (4/9),0/1,0/0,2/3,0/0,2/2
2024 US Open R128,W vs Choinski,42% (10/24),60% (6/10),0/2,35% (9/26),67% (6/9),4/5,2/2,3/4,1/1,0/0
2024 Braunschweig CH F,W vs Van De Zandschulp,50% (4/8),100% (4/4),0/0,50% (4/8),100% (4/4),3/3,1/1,0/0,1/1,0/0
2024 Wimbledon R128,L vs Zverev,23% (3/13),0% (0/3),0/5,69% (9/13),44% (4/9),0/0,0/0,1/1,0/0,0/0
2024 Roland Garros R64,L vs Djokovic,15% (2/13),100% (2/2),1/6,67% (8/12),13% (1/8),0/2,0/0,1/2,0/0,1/1
2024 Bordeaux CH R16,L vs Shang,38% (5/13),100% (5/5),2/5,58% (7/12),29% (2/7),2/4,0/1,1/1,0/0,0/0
2024 Barcelona R32,W vs Musetti,55% (6/11),33% (2/6),0/1,27% (3/11),67% (2/3),0/1,0/0,2/2,0/0,0/0
2024 Marrakech F,L vs Berrettini,40% (4/10),25% (1/4),0/4,40% (4/10),0% (0/4),0/1,0/0,1/1,0/0,1/1
2024 Miami R64,L vs Alcaraz,14% (1/7),0% (0/1),0/4,63% (5/8),0% (0/5),0/0,0/0,1/2,0/0,0/1
2024 Indian Wells R64,L vs Medvedev,11% (1/9),100% (1/1),0/3,50% (4/8),0% (0/4),0/1,0/0,0/1,0/0,0/0
2023 US Open R64,L vs Karatsev,30% (6/20),50% (3/6),1/4,32% (6/19),17% (1/6),1/2,1/2,1/2,0/0,0/0
2023 US Open R128,W vs Rune,44% (8/18),88% (7/8),2/3,17% (3/18),0% (0/3),5/6,2/2,1/1,1/1,0/0
2023 Wimbledon R64,L vs Rune,38% (6/16),50% (3/6),1/4,47% (7/15),29% (2/7),1/3,0/0,0/1,0/0,0/1
2023 Wimbledon R128,W vs Arnaldi,35% (7/20),71% (5/7),2/2,24% (5/21),60% (3/5),4/5,3/3,2/2,1/1,0/0
2023 Rome R64,W vs Evans,35% (6/17),50% (3/6),0/2,35% (6/17),50% (3/6),1/2,0/1,2/2,0/0,0/0
2023 Marrakech F,W vs Muller,27% (4/15),75% (3/4),0/2,27% (4/15),50% (2/4),2/3,1/1,1/1,1/1,0/0
2023 Australian Open R128,L vs Djokovic,8% (1/13),0% (0/1),0/5,58% (7/12),29% (2/7),0/0,0/0,2/2,0/0,0/0
2022 Naples R32,W vs Jarry,40% (4/10),50% (2/4),0/0,20% (2/10),100% (2/2),2/2,2/2,0/0,1/1,0/0
2022 Florence R16,W vs Berrettini,28% (5/18),100% (5/5),0/5,39% (7/18),29% (2/7),3/5,1/1,3/3,1/1,2/2
2022 US Open R64,L vs Shapovalov,21% (4/19),50% (2/4),0/4,33% (6/18),17% (1/6),1/2,1/1,1/2,0/0,0/0
2024 (10 matches),,32.8%,55.0%,11.8%,50.4%,37.1%,50.0%,75.0%,70.6%,100.0%,80.0%
2023 (7 matches),,31.9%,63.2%,27.3%,32.5%,34.2%,66.7%,77.8%,81.8%,100.0%,0.0%
2022 (8 matches),,24.8%,76.9%,8.0%,40.4%,31.0%,64.7%,100.0%,66.7%,100.0%,50.0%
2021 (7 matches),,37.4%,65.1%,25.0%,41.1%,15.2%,74.1%,100.0%,53.3%,100.0%,50.0%
2020 (7 matches),,37.4%,67.5%,18.5%,36.8%,23.1%,75.0%,66.7%,77.8%,100.0%,66.7%
Career (213 matches),,36.5%,70.1%,23.0%,38.4%,29.0%,72.0%,78.0%,74.8%,82.5%,71.1%
