Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Pablo Carreno Busta [ESP],3,9,25.0%,5,4,1,80.0%,2010,2026,6,0.85,6.8%,5.1%,58.6%,64.0%,47.6%,57.2%,36.3%,54.5%,40.5%
11,Albert Ramos [ESP],4,7,36.4%,1,0,1,0.0%,2014,2023,11,0.96,4.6%,3.6%,60.3%,68.5%,45.7%,59.4%,38.9%,58.4%,40.8%
9,Taro Daniel [JPN],7,2,77.8%,3,2,1,66.7%,2011,2023,5,1.11,5.2%,4.0%,63.7%,69.2%,48.4%,61.7%,42.5%,56.5%,51.4%
8,Bernabe Zapata Miralles [ESP],6,2,75.0%,3,2,1,66.7%,2017,2023,8,1.14,2.4%,3.2%,62.1%,65.3%,51.0%,59.9%,45.7%,60.4%,48.6%
8,Nicolas Jarry [CHI],5,3,62.5%,7,4,3,57.1%,2014,2022,8,1.08,3.4%,6.3%,62.3%,72.7%,54.1%,65.7%,37.1%,65.0%,50.0%
8,Jordi Samper Montana [ESP],6,2,75.0%,2,1,1,50.0%,2011,2017,2,1.66,2.1%,1.1%,73.7%,71.4%,60.0%,68.4%,52.5%,33.3%,76.9%
7,Marco Cecchinato [ITA],3,4,42.9%,3,2,1,66.7%,2011,2022,4,0.96,2.0%,2.0%,69.6%,71.1%,45.7%,63.4%,35.2%,61.5%,53.3%
7,Casper Ruud [NOR],1,6,14.3%,4,2,2,50.0%,2017,2022,7,0.75,2.3%,3.9%,65.0%,61.2%,44.4%,55.3%,33.6%,48.1%,42.9%
7,Laslo Djere [SRB],4,3,57.1%,4,1,3,25.0%,2014,2022,6,0.96,2.7%,2.2%,58.8%,68.7%,49.4%,60.8%,37.7%,66.7%,48.4%
6,Francisco Cerundolo [ARG],1,5,16.7%,1,0,1,0.0%,2020,2025,6,0.80,1.5%,2.6%,64.0%,60.7%,46.0%,55.4%,35.6%,54.0%,41.2%
6,Lorenzo Sonego [ITA],3,3,50.0%,4,0,4,0.0%,2017,2024,6,0.98,1.5%,2.7%,64.6%,70.0%,51.6%,63.5%,35.8%,67.4%,51.3%
6,Corentin Moutet [FRA],2,4,33.3%,4,3,1,75.0%,2017,2024,6,0.99,2.9%,2.5%,67.0%,66.8%,51.0%,61.6%,38.0%,59.1%,39.5%
6,Oriol Roca Batalla [ESP],6,0,100.0%,2,2,0,100.0%,2012,2024,2,1.49,0.9%,0.9%,73.8%,67.1%,71.4%,68.2%,47.4%,62.5%,52.9%
6,Jozef Kovalik [SVK],1,5,16.7%,3,0,3,0.0%,2015,2023,5,0.93,2.9%,3.3%,61.6%,64.7%,49.1%,58.7%,38.3%,60.0%,47.5%
6,Elias Ymer [SWE],3,3,50.0%,2,0,2,0.0%,2014,2023,6,1.04,2.8%,3.0%,61.6%,65.4%,51.2%,60.0%,41.7%,65.1%,36.8%
