Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,6,6,50.0%,14-13,51.9%,136-131,50.9%,4-2,66.7%,11,78.0%,22.5%,6.3%,3.6%,65.9%,69.9%,48.0%,62.4%,37.7%,50.0%,1.00,F (Murcia)
2025,13,7,6,53.8%,16-9,64.0%,128-106,54.7%,2-1,66.7%,13,74.4%,30.3%,1.8%,2.2%,66.3%,65.3%,49.5%,60.0%,42.9%,51.4%,1.07,SF (Bad Waltersdorf)
2024,12,10,2,83.3%,21-6,77.8%,144-100,59.0%,2-0,100.0%,12,77.2%,38.7%,3.7%,1.4%,67.6%,65.8%,57.3%,63.0%,45.1%,54.0%,1.22,W (2x)
2023,9,5,4,55.6%,12-9,57.1%,105-90,53.8%,1-3,25.0%,9,77.7%,32.0%,1.6%,2.5%,63.2%,65.4%,53.8%,61.2%,40.8%,51.1%,1.05,W (Seville)
2022,44,32,12,72.7%,65-28,69.9%,506-375,57.4%,9-6,60.0%,44,76.4%,38.9%,2.0%,2.7%,66.4%,67.4%,52.6%,62.4%,45.0%,53.6%,1.20,W (2x)
2021,26,18,8,69.2%,39-18,68.4%,309-238,56.5%,6-4,60.0%,26,75.6%,36.5%,3.0%,3.3%,67.4%,67.5%,52.8%,62.7%,44.4%,53.3%,1.19,W (Belgrade)
2020,21,13,8,61.9%,27-20,57.4%,227-200,53.2%,1-2,33.3%,21,74.9%,32.7%,3.9%,3.5%,62.2%,68.9%,51.3%,62.2%,41.4%,51.8%,1.10,F (Campinas)
2019,24,16,8,66.7%,36-19,65.5%,295-223,56.9%,4-5,44.4%,24,77.2%,35.3%,3.3%,3.6%,61.3%,66.9%,54.5%,62.1%,43.3%,52.7%,1.14,W (2x)
2018,31,21,10,67.7%,46-29,61.3%,377-335,52.9%,5-3,62.5%,31,73.9%,32.1%,2.6%,4.4%,64.1%,67.8%,48.5%,60.9%,42.2%,51.5%,1.08,W (Barcelona)
2017,63,40,23,63.5%,83-56,59.7%,702-576,54.9%,7-5,58.3%,63,73.9%,36.7%,2.8%,3.8%,60.8%,66.0%,51.1%,60.2%,43.9%,52.1%,1.10,W (2x)
2016,50,27,23,54.0%,60-53,53.1%,568-503,53.0%,6-9,40.0%,50,73.5%,32.4%,3.4%,3.4%,65.3%,65.6%,50.4%,60.3%,41.9%,51.1%,1.05,F (Bastad)
2015,59,36,23,61.0%,73-53,57.9%,647-546,54.2%,4-12,25.0%,59,74.0%,36.2%,3.0%,3.7%,65.4%,66.5%,49.7%,60.7%,43.8%,51.8%,1.11,W (2x)
2014,31,14,17,45.2%,39-40,49.4%,386-363,51.5%,4-10,28.6%,31,70.3%,33.7%,2.7%,3.6%,62.4%,64.7%,49.4%,58.9%,42.7%,50.6%,1.04,SF (2x)
2013,19,9,10,47.4%,23-24,48.9%,220-223,49.7%,2-3,40.0%,19,70.1%,29.4%,3.5%,4.3%,56.1%,67.2%,48.1%,58.8%,41.1%,49.9%,1.00,SF (Orbetello)
2012,4,2,2,50.0%,4-4,50.0%,36-37,49.3%,0-0,-,4,75.0%,24.3%,4.0%,3.6%,58.9%,68.9%,46.7%,59.8%,37.8%,49.0%,0.94,QF (Marbella)
2011,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,3.0%,4.5%,72.7%,58.3%,44.4%,54.5%,20.8%,40.4%,0.46,R32 (Seville)
Career,419,256,163,61.1%,558-383,59.3%,4791-4058,54.1%,57-65,46.7%,418,74.3%,34.3%,3.0%,3.5%,63.8%,66.6%,50.8%,60.9%,42.9%,51.8%,1.10,
