Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,37,8,29,21.6%,19-61,23.8%,297-447,39.9%,1-3,25.0%,34,60.6%,22.4%,2.5%,5.9%,60.2%,61.5%,42.2%,53.8%,37.9%,45.8%,0.82
Clay,34,17,17,50.0%,37-39,48.7%,361-361,50.0%,4-4,50.0%,34,60.8%,39.5%,1.5%,7.3%,67.4%,61.8%,39.5%,54.5%,45.1%,49.8%,0.99
Grass,2,0,2,0.0%,0-4,0.0%,13-24,35.1%,0-0,-,2,68.4%,0.0%,5.3%,9.8%,60.2%,60.0%,43.4%,53.4%,26.8%,41.2%,0.57
Grand Slams,8,2,6,25.0%,4-13,23.5%,63-93,40.4%,0-0,-,8,53.9%,26.3%,3.2%,8.5%,60.0%,60.4%,35.1%,50.3%,38.7%,44.7%,0.78
Premiers,6,2,4,33.3%,4-9,30.8%,46-64,41.8%,0-0,-,6,62.5%,20.4%,1.9%,5.2%,61.6%,64.6%,40.4%,55.3%,36.8%,46.4%,0.82
Internationals,32,11,21,34.4%,25-44,36.2%,300-361,45.4%,3-5,37.5%,32,63.0%,28.4%,2.1%,6.5%,64.7%,61.6%,42.6%,54.9%,40.9%,47.8%,0.91
Finals,1,0,1,0.0%,1-2,33.3%,16-18,47.1%,0-0,-,1,64.7%,29.4%,2.7%,8.2%,69.1%,61.8%,47.1%,57.3%,40.4%,48.9%,0.94
Semi-finals,1,1,0,100.0%,2-1,66.7%,16-13,55.2%,1-0,100.0%,1,71.4%,35.7%,0.0%,0.0%,80.9%,59.2%,61.1%,59.6%,48.5%,53.9%,1.20
Quarter-finals,2,1,1,50.0%,1-2,33.3%,12-16,42.9%,0-0,-,2,50.0%,35.7%,1.2%,7.0%,69.8%,56.7%,38.5%,51.2%,44.2%,47.7%,0.90
vs Righties,60,17,43,28.3%,40-90,30.8%,532-686,43.7%,2-6,25.0%,56,60.6%,29.5%,2.3%,6.8%,63.0%,61.7%,41.0%,54.1%,41.0%,47.5%,0.89
vs Lefties,13,7,6,53.8%,14-15,48.3%,130-146,47.1%,2-1,66.7%,13,61.0%,32.1%,1.5%,7.0%,65.4%,61.4%,39.6%,53.9%,41.1%,47.8%,0.89
vs Top 10,5,0,5,0.0%,1-10,9.1%,35-66,34.7%,0-1,0.0%,3,57.6%,26.5%,1.4%,5.9%,67.7%,57.7%,33.8%,50.0%,39.7%,44.7%,0.79
