Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Rio de Janeiro R16,W vs Pedretti,8.3%,26.7%,63.4%,10.3%,28.2%,57.1%,10.0%,84.2%,0.0%,14.3%,71.4%,100.0%,33.3%,75.0%,100.0%,-42
2023 Roland Garros R64,L vs Gauff,19.1%,23.4%,25.0%,26.7%,33.3%,27.3%,30.8%,47.1%,60.0%,9.1%,9.1%,20.0%,33.3%,40.0%,0.0%,-51
2023 Roland Garros R128,W vs Rus,14.1%,26.8%,63.5%,16.7%,31.3%,67.5%,45.5%,46.2%,50.0%,14.3%,28.6%,50.0%,50.0%,0.0%,0.0%,-19
2023 Rabat F,L vs Bronzetti,16.4%,26.4%,54.2%,18.4%,28.9%,53.2%,3.6%,83.3%,87.5%,16.0%,28.0%,57.1%,70.6%,50.0%,-,17
2023 Rabat SF,W vs Riera,14.9%,26.6%,53.2%,15.8%,28.9%,51.6%,28.6%,78.0%,87.5%,11.8%,17.6%,60.0%,42.9%,70.0%,-,-37
2023 Madrid R64,L vs Swiatek,23.3%,41.9%,38.7%,25.7%,48.6%,42.3%,15.8%,62.5%,100.0%,16.7%,16.7%,20.0%,0.0%,100.0%,-,25
2023 Miami R64,L vs Liu,23.5%,43.1%,61.8%,31.3%,53.1%,72.7%,23.1%,47.4%,0.0%,14.3%,35.7%,41.7%,22.2%,80.0%,100.0%,2
2023 Dubai R64,L vs Fernandez,11.9%,25.4%,46.0%,13.5%,35.1%,43.8%,22.2%,36.8%,66.7%,10.0%,10.0%,50.0%,33.3%,27.3%,100.0%,-14
2023 Linz R32,L vs Brengle,14.3%,24.7%,49.2%,19.1%,31.9%,42.1%,20.8%,65.2%,83.3%,8.0%,16.0%,60.9%,8.3%,61.5%,66.7%,-42
2023 Lyon R32,L vs Parks,29.1%,37.2%,48.3%,36.5%,46.2%,54.5%,13.6%,33.3%,0.0%,19.4%,25.8%,40.0%,13.3%,31.3%,50.0%,3
2023 Australian Open R128,L vs Kontaveit,22.9%,33.3%,42.4%,39.1%,47.8%,57.1%,30.8%,60.0%,100.0%,9.5%,23.8%,31.6%,0.0%,30.8%,50.0%,-27
2022 Istanbul R32,W vs Ozgen,13.1%,32.8%,59.2%,14.0%,32.6%,51.4%,19.0%,72.7%,80.0%,14.3%,42.9%,83.3%,16.7%,62.5%,-,9
2020 Roland Garros Q2,L vs Haas,12.1%,15.5%,40.4%,12.5%,17.5%,45.7%,42.9%,63.2%,40.0%,14.3%,14.3%,25.0%,14.3%,14.3%,0.0%,9
Last 52 Weeks (1 matches),,8.3%,26.7%,63.4%,10.3%,28.2%,57.1%,10.0%,84.2%,0.0%,14.3%,71.4%,100.0%,33.3%,75.0%,100.0%,-42
Career (13 matches),,17.0%,29.0%,50.8%,20.4%,34.3%,51.5%,23.0%,62.5%,65.5%,13.2%,24.2%,48.9%,29.4%,45.5%,57.1%,0
