Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 US Open R128,L vs Ruse,0.84,0.59,42.5,2.0,3.8%,61.5%,0.0%,40.9%,31.0%,37.5%
2023 Wimbledon R128,L vs Collins,0.98,0.62,43.9,2.2,5.7%,57.1%,5.9%,58.8%,21.9%,32.1%
2023 Roland Garros R64,L vs Gauff,0.92,0.63,43.3,2.2,4.0%,44.0%,0.0%,27.3%,38.7%,50.0%
2023 Roland Garros R128,W vs Rus,1.10,1.52,41.6,2.0,2.7%,59.5%,0.0%,61.8%,63.3%,44.4%
2023 Rabat F,L vs Bronzetti,0.95,0.90,80.0,7.6,1.8%,59.6%,3.8%,54.7%,47.4%,32.7%
2023 Rabat SF,W vs Riera,0.96,1.15,100.0,9.9,0.0%,55.1%,0.0%,64.4%,51.0%,45.8%
2023 Madrid R64,L vs Swiatek,0.79,0.54,38.1,2.1,4.5%,45.5%,0.0%,57.1%,35.7%,30.8%
2023 Miami R64,L vs Liu,0.79,0.67,46.7,2.2,3.7%,59.3%,0.0%,70.8%,29.0%,31.0%
2023 Dubai R64,L vs Fernandez,1.10,0.48,39.6,2.3,0.0%,54.8%,3.6%,46.4%,30.4%,10.5%
2023 Linz R32,L vs Brengle,0.97,0.73,58.1,3.0,2.5%,57.5%,2.7%,48.6%,39.4%,31.3%
2023 Lyon R32,L vs Parks,0.90,0.87,68.3,2.5,2.2%,56.5%,2.5%,67.5%,33.3%,41.9%
2023 Australian Open R128,L vs Kontaveit,0.81,0.58,39.5,2.2,4.0%,60.0%,4.3%,43.5%,32.3%,37.0%
2022 Istanbul R32,W vs Ozgen,1.06,1.45,45.0,2.2,6.3%,65.6%,0.0%,55.2%,58.8%,48.4%
2019 W25 Leipzig R16,W vs Gasparovic,1.08,1.34,53.4,3.1,-,43.8%,-,66.7%,55.6%,57.6%
2019 W25 Leipzig R32,W vs Heisen,1.12,1.67,41.2,2.0,-,54.2%,-,65.0%,63.0%,59.1%
2019 W25 Darmstadt R32,W vs Makarova,1.10,1.78,39.4,2.0,-,68.0%,-,54.2%,54.5%,71.4%
2019 W25 Klosters R32,W vs Klasen,1.07,1.66,52.0,2.3,-,65.4%,-,75.0%,48.4%,44.8%
2019 W60 Brescia R16,L vs Hives,0.80,0.66,41.7,2.6,-,43.3%,-,48.0%,53.1%,36.7%
2019 W60 Brescia R32,W vs Perrin,1.24,1.52,44.2,2.5,-,59.4%,-,70.0%,36.1%,51.6%
2019 W25 Caserta R16,L vs Danilina,0.98,0.52,41.0,2.0,-,48.0%,-,50.0%,23.1%,31.8%
2024 (1 matches),,0.84,0.59,42.5,2.0,3.8%,61.5%,0.0%,40.9%,31.0%,37.5%
2023 (11 matches),,0.94,0.81,59.5,2.6,2.5%,56.1%,2.2%,56.0%,39.4%,36.5%
2022 (1 matches),,1.06,1.45,45.0,2.2,6.3%,65.6%,0.0%,55.2%,58.8%,48.4%
2019 (21 matches),,1.01,1.15,56.4,2.6,0.8%,56.2%,0.6%,58.5%,47.6%,49.5%
2017 (49 matches),,1.02,1.15,59.1,2.8,2.4%,56.2%,0.9%,58.5%,49.7%,46.5%
Career (146 matches),,1.02,1.15,55.6,2.6,1.8%,56.2%,0.9%,57.6%,49.0%,48.0%
