Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,5,7,41.7%,10-16,38.5%,122-125,49.4%,0-1,0.0%,12,58.5%,40.7%,2.2%,1.8%,77.5%,57.1%,41.7%,53.6%,46.0%,49.9%,0.99,SF (Ostrava)
2025,32,11,21,34.4%,31-46,40.3%,340-367,48.1%,1-6,14.3%,32,57.5%,38.8%,1.1%,0.8%,78.4%,55.8%,43.6%,53.2%,45.1%,49.1%,0.96,QF (2x)
2024,30,13,17,43.3%,35-38,47.9%,349-359,49.3%,5-6,45.5%,30,59.9%,39.1%,1.1%,1.7%,76.7%,57.1%,45.1%,54.3%,45.8%,50.0%,1.00,QF (Hua Hin)
2023,20,7,13,35.0%,18-31,36.7%,199-239,45.4%,0-1,0.0%,20,54.8%,36.4%,2.1%,4.5%,69.6%,56.7%,42.6%,52.4%,43.6%,48.1%,0.92,SF (Austin)
2022,8,2,6,25.0%,7-14,33.3%,86-105,45.0%,0-1,0.0%,8,48.9%,41.7%,0.6%,3.4%,72.9%,51.1%,46.3%,49.8%,46.9%,48.3%,0.93,R32 (2x)
2021,6,0,6,0.0%,2-12,14.3%,54-80,40.3%,0-2,0.0%,6,53.0%,28.8%,1.1%,3.7%,73.8%,54.9%,43.7%,52.0%,41.6%,46.8%,0.87,R32 (2x)
2020,2,1,1,50.0%,3-2,60.0%,24-25,49.0%,1-0,100.0%,2,66.7%,29.2%,0.0%,12.3%,70.3%,67.0%,34.8%,57.4%,43.2%,49.6%,1.01,R16 (Acapulco)
2019,2,0,2,0.0%,1-4,20.0%,20-31,39.2%,1-1,50.0%,2,64.0%,12.5%,2.4%,2.4%,64.5%,60.6%,43.3%,54.4%,33.3%,44.2%,0.73,R32 (Luxembourg)
Career,112,39,73,34.8%,107-163,39.6%,1194-1331,47.3%,8-18,30.8%,112,57.2%,37.7%,1.4%,2.4%,75.2%,56.3%,43.7%,53.2%,44.8%,49.0%,0.96,
